timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ,label
23386,0.378,-0.016,0.956,-3.052,0.381,-0.519,diam
4786,0.316,0.003,0.946,-13.184,-4.73,-4.135,diam
5307,0.441,0.618,0.921,55.557,-73.441,-55.984,jogging
299247,0.468,-0.044,1.621,-87.234,-27.084,105.637,jogging
48147,0.615,-0.242,1.485,-87.067,27.817,18.173,jogging
188866,0.35,-0.01,0.967,-2.655,1.16,0.748,diam
230169,0.267,-0.031,1.157,17.197,18.066,-4.196,jalan
37906,0.341,-0.022,0.966,-3.128,0.427,-0.031,diam
242346,0.298,-0.03,0.982,-3.494,-0.229,-0.412,diam
117069,0.294,-0.048,0.934,-19.394,-19.012,-25.726,jalan
247427,0.812,0.249,2.169,-77.866,-11.139,94.986,jogging
22289,0.532,0.01,0.92,-0.046,3.54,27.786,jalan
196647,4.0,1.158,4.0,94.574,51.422,-265.793,jogging
273609,0.405,-0.046,0.855,6.18,-7.065,14.114,jalan
153466,0.329,0.005,0.962,-1.572,-0.397,-1.129,diam
149969,0.251,-0.005,0.886,-5.234,-2.686,-34.698,jalan
108886,0.307,-0.03,0.972,-5.981,-2.365,1.266,diam
237066,0.316,-0.025,0.975,-2.869,0.305,-0.092,diam
66246,0.292,0.019,0.946,-5.02,-1.907,-5.249,diam
108406,0.293,-0.018,0.984,-3.693,1.038,1.022,diam
155546,0.355,0.02,0.965,-12.863,-2.182,-7.553,diam
27569,0.509,-0.004,0.994,25.391,-25.391,-2.823,jalan
61026,0.305,-0.043,0.964,-14.694,-2.686,-11.353,diam
16046,0.408,-0.018,0.938,-2.808,1.251,1.022,diam
44226,0.347,-0.023,0.964,-2.686,-0.183,0.412,diam
52506,0.334,-0.055,0.969,-2.777,-0.473,-0.183,diam
177266,0.334,-0.016,0.974,-1.953,-0.931,0.641,diam
211106,0.284,-0.04,0.992,-4.44,3.265,-4.501,diam
27689,0.284,-0.056,1.213,-7.935,45.853,-26.978,jalan
127367,-0.474,0.66,0.598,-14.053,-71.594,111.664,jogging
30146,0.433,-0.017,0.934,-4.089,-1.297,-1.984,diam
184129,0.401,-0.045,0.994,3.082,-9.75,12.589,jalan
118627,0.416,0.084,2.183,-78.201,-34.546,95.963,jogging
162927,0.589,0.143,1.958,-72.037,-82.428,92.819,jogging
132887,0.506,-0.044,-0.084,23.819,20.081,2.106,jogging
296929,-0.064,-0.124,0.904,14.709,-17.059,4.852,jalan
30987,0.727,0.33,2.02,72.998,-67.459,-94.574,jogging
66086,0.346,-0.051,0.915,-3.22,3.311,-1.511,diam
34587,0.183,-0.14,0.112,14.404,-51.285,54.123,jogging
7307,0.571,0.271,1.534,62.408,-53.543,-33.722,jogging
45707,0.217,0.51,0.854,79.071,-67.886,16.907,jogging
80367,-0.121,-0.781,1.95,-10.666,365.341,-151.688,jogging
246807,0.11,-0.083,0.455,-60.425,-44.235,-16.693,jogging
59786,0.338,0.007,0.963,0.916,7.69,-2.213,diam
39226,0.361,-0.015,0.963,0.015,-0.244,3.204,diam
91567,0.272,-0.323,0.795,-34.668,-24.887,12.192,jogging
103709,-0.265,0.489,0.769,6.302,-14.069,19.028,jalan
152169,0.383,-0.119,0.952,-7.645,5.905,32.394,jalan
178847,0.305,-0.041,1.625,-71.167,-63.354,67.795,jogging
43366,0.334,-0.026,0.974,-3.326,-0.519,-0.366,diam
96767,0.005,0.751,2.279,-115.921,282.562,0.809,jogging
248167,0.449,-0.061,1.277,-72.067,-24.536,35.995,jogging
196446,0.376,-0.035,0.952,-2.884,1.236,0.443,diam
38326,0.343,-0.031,0.969,-3.174,-0.504,-0.443,diam
241047,-1.454,1.135,1.798,44.678,-50.247,146.927,jogging
210147,0.458,1.098,1.602,-127.899,191.956,-2.106,jogging
139929,0.325,0.183,1.099,-8.331,-29.205,-6.683,jalan
52287,2.952,-0.441,3.581,-61.386,307.449,-86.884,jogging
15506,0.409,-0.017,0.953,-3.006,-0.275,-0.854,diam
185572,0.342,-0.018,0.271,-3.754,-55.954,50.446,jogging
213946,0.366,-0.074,1.092,-0.702,-8.118,2.274,diam
97809,0.551,0.143,1.069,-9.933,-27.39,-16.968,jalan
136747,-0.06,-0.213,0.384,31.769,-109.299,22.461,jogging
106746,0.295,-0.036,0.987,-1.343,-2.487,2.609,diam
154846,0.345,0.068,0.967,-4.501,-0.687,-12.802,diam
160329,-0.08,0.323,1.334,15.457,2.64,-25.986,jalan
148906,0.321,-0.04,0.974,-2.64,0.076,0.397,diam
89386,0.331,-0.041,0.96,-1.663,-0.595,5.753,diam
169867,0.259,0.0,0.78,-55.038,-58.304,-1.968,jogging
135909,0.238,-0.015,0.803,-7.37,13.458,-5.692,jalan
167607,-0.159,0.361,0.323,-23.605,-109.833,73.059,jogging
102346,0.308,-0.048,0.982,-7.751,0.076,1.816,diam
195865,0.381,-0.037,0.956,-2.792,1.099,-0.092,diam
74887,0.578,-0.105,1.562,-65.811,7.767,42.435,jogging
53187,0.149,-0.071,0.224,28.839,-50.446,-7.843,jogging
70967,1.873,0.552,2.704,32.15,2.426,-106.232,jogging
138886,0.372,-0.037,0.96,-2.686,0.32,-0.519,diam
270007,1.689,1.031,2.585,-46.295,222.183,-186.905,jogging
218967,0.116,0.319,0.297,-28.351,-50.507,94.543,jogging
26289,0.267,0.013,0.995,-22.263,-29.358,-10.178,jalan
216226,0.337,-0.128,0.977,9.659,0.717,40.543,diam
10166,0.405,-0.015,0.939,-4.456,-1.205,-3.143,diam
966,0.187,0.006,1.004,-3.189,-3.586,-4.745,diam
134809,0.641,-0.061,1.005,4.593,-2.045,-16.876,jalan
227689,0.308,0.058,1.082,22.049,-4.578,-17.822,jalan
246167,0.123,0.147,-0.051,29.343,0.839,-28.275,jogging
128246,0.344,-0.047,0.973,-4.669,3.235,-0.32,diam
65669,0.516,0.018,0.912,-21.667,19.577,-15.381,jalan
114266,0.319,-0.031,0.982,-3.998,-0.198,-3.372,diam
181486,0.318,-0.031,0.974,-3.311,0.137,-1.434,diam
180027,0.569,-0.018,0.284,-23.865,-37.231,35.995,jogging
236946,0.318,-0.021,0.979,-3.006,0.29,0.092,diam
231206,0.296,-0.048,0.975,-3.83,1.038,-2.701,diam
89926,0.337,-0.063,0.973,-4.303,0.412,-0.702,diam
178707,-0.502,0.421,0.591,2.411,-124.115,91.385,jogging
23029,-0.138,-0.31,0.99,17.365,-16.693,-8.102,jalan
275387,0.519,0.317,1.7,-80.856,-67.23,57.404,jogging
205209,0.461,0.015,1.04,-24.826,-9.43,-14.664,jalan
196506,0.384,-0.03,0.961,-2.914,1.373,0.092,diam
179807,-1.046,-0.032,1.281,-140.594,184.479,75.531,jogging
5806,0.404,-0.057,0.948,-1.724,-0.824,-6.5,diam
188669,0.321,-0.056,0.865,-17.319,21.179,-9.415,jalan
289966,0.275,-0.197,0.969,-3.159,0.183,-0.443,diam
175269,-0.262,0.26,0.781,19.485,36.636,31.403,jalan
298049,0.614,-0.028,0.968,0.198,2.96,-25.421,jalan
113627,-0.754,0.518,0.962,-1.48,-96.664,113.083,jogging
189986,0.314,-0.009,0.975,-4.166,1.724,0.061,diam
86614,-0.022,0.427,1.343,8.026,31.631,-14.481,jalan
292467,0.142,-0.075,0.415,-65.277,-22.095,12.299,jogging
5329,0.125,-0.001,1.04,-5.066,-3.403,4.471,jalan
161487,0.264,-0.26,0.658,-35.172,-53.406,-50.812,jogging
115049,0.375,0.024,0.846,-3.357,2.35,-1.358,jalan
53487,0.229,-0.149,0.048,-0.519,5.035,23.682,jogging
249890,1.002,0.381,2.605,47.791,-10.284,-89.722,jogging
31669,0.046,-0.073,1.003,-27.496,-31.937,5.341,jalan
16766,0.406,-0.022,0.947,-3.571,0.748,-0.351,diam
117989,0.513,-0.291,1.281,22.629,35.706,4.105,jalan
75109,0.45,-0.143,0.992,-1.038,-34.943,-52.597,jalan
246049,0.169,0.105,0.921,-14.832,-6.363,38.086,jalan
181086,0.319,-0.025,0.976,-4.013,0.137,-2.075,diam
38647,0.544,-0.077,-0.098,-6.47,36.24,9.705,jogging
195326,0.391,-0.038,0.948,-2.975,0.534,-0.214,diam
19066,0.523,0.043,0.986,-3.418,21.622,2.014,diam
91607,0.115,0.059,0.355,-30.731,17.166,-13.168,jogging
208867,-0.015,0.25,0.535,57.465,4.517,9.598,jogging
270167,0.17,0.193,0.482,-17.441,-1.465,-148.926,jogging
12389,0.325,-0.028,0.947,-2.823,-5.692,33.752,jalan
67546,0.311,-0.035,0.98,-4.227,0.366,-3.281,diam
17586,0.397,-0.002,0.939,-3.479,-0.366,-0.488,diam
24327,-0.841,0.222,1.012,35.202,-107.651,19.211,jogging
17206,0.389,-0.018,0.956,-0.824,1.724,3.174,diam
143667,0.6,0.248,2.29,-98.846,-78.903,92.88,jogging
111386,0.329,-0.024,0.979,-2.762,-1.038,-2.106,diam
239986,0.304,-0.025,0.982,-2.945,0.931,-0.031,diam
278706,0.257,-0.191,0.977,-2.838,1.038,-0.29,diam
49066,0.384,-0.087,0.959,-5.524,2.701,2.182,diam
255166,0.322,-0.157,0.964,-4.272,1.068,-1.663,diam
288689,0.122,-0.008,0.837,-26.169,21.835,24.887,jalan
71789,0.116,0.088,0.752,22.003,-6.012,-27.374,jalan
29449,0.357,-0.113,1.114,29.8,5.798,-16.113,jalan
113466,0.311,-0.017,0.982,-1.541,-0.717,4.013,diam
162929,0.095,0.282,1.268,0.397,15.381,-27.863,jalan
268427,0.062,0.059,0.06,7.965,10.651,-40.833,jogging
254307,-0.354,0.403,0.556,-20.798,-77.438,104.752,jogging
189066,0.341,-0.004,0.97,-2.426,2.304,1.129,diam
183386,0.323,-0.027,0.974,-3.113,0.336,-0.763,diam
249449,0.484,-0.019,1.082,-19.882,-8.362,-28.763,jalan
147247,0.156,-0.281,0.78,-56.824,-44.983,50.323,jogging
217826,0.308,0.09,0.957,-7.37,-4.883,14.374,diam
121307,1.893,-0.096,2.875,3.204,256.104,-102.707,jogging
278807,1.054,0.433,2.61,-127.06,-19.18,82.504,jogging
53367,0.583,0.196,1.908,76.675,-92.957,-35.477,jogging
177687,-0.629,-0.929,0.903,-14.435,-151.871,-62.286,jogging
54804,0.083,0.243,1.143,28.595,9.75,-2.609,jalan
284969,0.263,-0.045,0.895,-14.847,21.805,5.402,jalan
210866,0.278,-0.021,0.988,-4.486,6.287,-5.432,diam
234786,0.312,-0.022,0.988,-3.479,1.297,-0.946,diam
19546,0.379,-0.03,0.951,-1.74,6.714,1.648,diam
90406,0.331,-0.049,0.974,-1.831,1.877,1.785,diam
111269,0.152,-0.071,0.947,2.838,-22.72,6.18,jalan
81046,0.271,-0.012,0.991,-1.709,-0.473,5.646,diam
236187,-0.401,0.256,1.85,-69.092,89.615,42.648,jogging
12206,0.398,-0.03,0.95,-4.227,2.365,-1.587,diam
108389,0.297,-0.059,1.252,-2.411,56.564,-10.986,jalan
61049,-0.212,-0.496,0.828,5.554,-38.94,-9.247,jalan
170066,0.319,-0.03,0.977,-3.845,0.931,-1.572,diam
136167,2.664,1.74,3.031,-99.777,462.662,56.747,jogging
250867,-1.51,0.98,1.807,54.276,-35.675,154.953,jogging
134651,0.357,-0.032,0.968,-2.228,0.305,-0.305,diam
220906,0.279,0.0,0.976,-6.943,-1.266,-10.361,diam
142666,0.334,-0.044,0.975,-4.7,1.984,-4.272,diam
284747,-1.424,0.542,1.957,84.717,122.635,-0.336,jogging
238826,0.306,-0.025,0.978,-3.006,0.58,0.031,diam
89046,0.341,-0.022,0.982,-1.099,0.61,8.911,diam
216709,0.227,-0.238,1.197,16.556,33.096,-8.53,jalan
282649,0.438,-0.07,1.117,1.877,-17.41,15.732,jalan
245449,0.178,0.045,0.851,17.487,-6.363,-36.697,jalan
84106,0.272,-0.034,0.986,-1.801,-0.107,3.418,diam
135466,0.359,-0.039,0.968,-3.769,-0.351,-2.197,diam
35207,0.057,0.605,0.413,16.861,79.071,12.817,jogging
272966,0.268,-0.196,0.973,-3.54,0.137,-0.32,diam
104307,-0.146,-0.438,0.399,-14.145,-90.469,-17.258,jogging
259049,0.201,0.041,1.012,-25.925,32.715,-23.544,jalan
184887,0.294,0.128,0.192,-7.69,-27.206,61.05,jogging
178586,0.333,-0.019,0.969,-3.387,0.824,-0.732,diam
173729,0.448,-0.099,1.074,7.675,-2.777,12.589,jalan
151247,0.32,0.107,0.15,-21.393,-31.143,53.772,jogging
181629,0.559,0.078,1.046,-14.053,6.378,28.351,jalan
187349,0.321,-0.073,0.85,-20.523,38.971,-18.372,jalan
228266,0.318,0.02,0.99,-2.319,-2.441,-1.404,diam
224027,-0.08,0.395,0.438,-13.504,-91.354,70.724,jogging
161406,0.333,-0.023,0.967,-2.213,2.747,1.053,diam
9267,-0.05,1.365,2.132,-160.95,214.035,64.743,jogging
164692,0.323,-0.026,0.974,-3.143,1.221,-0.305,diam
31189,0.222,0.117,1.134,-23.59,35.37,23.102,jalan
285407,-0.987,0.586,0.835,21.591,-117.645,158.325,jogging
288369,0.137,0.371,1.347,28.961,2.609,-0.824,jalan
23708,0.377,-0.014,0.965,-3.448,0.58,-0.381,diam
228007,0.503,0.112,1.924,68.542,-66.284,0.687,jogging
44387,0.124,0.078,0.029,-11.337,-38.712,58.64,jogging
152966,0.341,0.009,0.978,-1.175,0.656,0.717,diam
120107,0.113,0.154,-0.086,14.175,16.632,-31.311,jogging
50769,0.072,0.134,0.769,16.8,-26.199,-23.956,jalan
95588,0.363,-0.263,-0.017,-25.65,1.129,30.365,jogging
179486,0.324,-0.024,0.973,-3.922,1.938,0.504,diam
209287,0.086,0.308,0.093,-11.871,-14.496,-30.777,jogging
200558,0.195,-0.101,0.836,-14.969,23.132,30.792,jalan
54389,0.247,-0.119,1.003,15.762,-9.384,-45.059,jalan
47929,0.35,0.028,0.799,4.974,8.255,10.62,jalan
136706,0.367,-0.029,0.957,-3.723,0.168,-2.014,diam
31849,0.108,0.137,0.792,24.689,-18.463,-17.471,jalan
178766,0.336,-0.02,0.979,-3.906,0.687,-1.434,diam
66849,0.276,-0.066,0.753,-13.687,9.567,-5.188,jalan
8689,0.114,0.015,0.957,-2.228,6.439,11.551,jalan
286446,0.271,-0.186,0.971,-3.189,0.0,0.473,diam
292046,0.292,-0.201,0.969,-2.548,0.61,-0.214,diam
300166,0.316,-0.051,0.975,-5.173,2.136,-7.248,diam
101407,0.09,0.514,-0.044,1.083,5.02,-13.931,jogging
8147,0.267,0.191,0.186,-12.924,-23.499,51.88,jogging
231987,0.401,0.077,0.197,7.858,6.546,-16.037,jogging
187646,0.347,-0.016,0.965,-3.067,-0.061,-1.007,diam
74166,0.216,-0.009,0.985,3.326,-13.29,15.274,diam
60046,0.292,0.053,0.966,4.623,8.591,11.566,diam
251027,0.15,-0.223,0.727,-57.373,-31.204,5.737,jogging
39027,0.119,-0.021,0.195,22.522,-23.666,32.455,jogging
259866,0.212,-0.163,0.996,-4.013,-2.151,-4.776,diam
17927,0.199,-0.169,0.265,37.079,-12.512,7.935,jogging
286307,0.263,0.138,-0.074,-27.252,-22.461,-14.755,jogging
289507,-0.786,0.561,2.294,92.636,75.348,1.053,jogging
158986,0.323,-0.022,0.982,-2.625,-1.038,0.519,diam
284649,0.37,-0.04,1.244,30.411,-23.544,21.042,jalan
59747,0.218,0.767,1.322,52.673,-63.385,-99.411,jogging
103247,-0.341,0.465,0.548,22.903,-92.743,62.485,jogging
58886,0.356,-0.036,0.959,-2.533,1.587,0.519,diam
119689,0.349,0.126,1.081,7.309,3.174,-19.73,jalan
79646,0.279,-0.038,0.989,-3.647,-0.595,-0.641,diam
10287,-0.813,0.224,1.74,34.012,132.019,-78.247,jogging
79109,-0.101,-0.225,0.931,2.64,4.196,-8.499,jalan
117406,0.312,-0.031,0.983,-3.922,-1.48,-0.031,diam
88386,0.347,-0.009,0.963,0.107,-0.595,7.309,diam
70849,0.535,-0.021,0.905,-0.61,-8.24,-26.962,jalan
143786,0.352,-0.032,0.962,-3.082,-1.999,-1.236,diam
76326,0.269,0.029,0.98,-6.851,2.518,-15.854,diam
16007,-1.211,-0.136,2.744,-198.486,161.682,-17.715,jogging
202426,0.325,-0.005,0.977,-1.801,-3.159,-3.326,diam
125026,0.323,-0.025,0.979,-4.547,-0.046,-4.974,diam
102926,0.306,-0.041,0.946,-8.392,0.061,-5.692,diam
37727,-1.06,-1.049,1.391,-57.617,-132.126,-38.696,jogging
50966,0.328,-0.028,0.976,-8.102,0.885,-5.966,diam
162887,1.841,0.427,2.797,-134.094,206.436,25.421,jogging
89266,0.333,-0.041,0.965,-1.648,-1.709,5.63,diam
58227,0.259,0.001,1.479,39.581,-68.802,-87.585,jogging
149829,0.24,0.108,1.117,8.56,-17.12,-43.198,jalan
231227,0.172,-0.151,0.281,-53.604,-13.458,9.018,jogging
19706,0.377,-0.041,0.965,-1.816,3.983,0.031,diam
9347,0.545,0.084,1.362,81.894,-96.878,-12.1,jogging
