Bus Voltage (V),Current (mA),Power (mW)
4.764,20.2,96.0
4.768,20.9,98.0
4.76,20.8,98.0
4.764,20.8,98.0
4.764,20.7,98.0
4.76,20.7,98.0
4.768,20.6,98.0
4.764,20.3,98.0
4.76,20.3,98.0
4.768,20.3,98.0
4.76,20.7,98.0
4.768,20.5,98.0
4.76,20.3,98.0
4.76,20.8,98.0
4.768,20.8,98.0
4.76,20.6,98.0
4.768,20.6,98.0
4.764,20.6,98.0
4.764,20.6,98.0
4.768,20.5,98.0
4.764,20.4,98.0
4.76,20.3,96.0
4.768,20.8,98.0
4.76,20.4,98.0
4.764,20.5,98.0
4.764,20.6,98.0
4.764,20.7,98.0
4.768,20.6,98.0
4.764,20.7,98.0
4.76,20.7,96.0
4.764,20.5,98.0
4.764,20.1,96.0
4.768,20.7,98.0
4.764,20.4,98.0
4.76,20.4,98.0
4.768,20.5,98.0
4.76,20.3,98.0
4.768,20.6,98.0
4.764,20.6,98.0
4.76,20.4,98.0
4.768,20.9,98.0
4.764,20.2,98.0
4.772,20.5,98.0
4.764,20.2,98.0
4.76,20.7,98.0
4.768,20.6,98.0
4.764,20.6,98.0
4.764,20.5,98.0
4.764,20.2,98.0
4.764,20.7,98.0
4.768,20.6,98.0
4.764,20.7,98.0
4.764,20.6,98.0
4.764,20.5,98.0
4.764,20.3,98.0
4.764,20.6,98.0
4.764,20.5,98.0
4.764,20.4,98.0
4.768,20.8,98.0
4.764,20.7,96.0
4.76,20.3,96.0
4.768,20.2,96.0
4.76,20.8,98.0
4.768,20.8,98.0
4.764,20.6,98.0
4.76,20.2,96.0
4.768,20.8,98.0
4.76,20.5,98.0
4.76,20.5,98.0
4.768,20.5,98.0
4.764,20.5,98.0
4.768,20.7,98.0
4.764,20.2,96.0
4.764,20.6,98.0
4.764,20.6,98.0
4.764,20.3,98.0
4.768,20.9,98.0
4.764,20.6,98.0
4.764,20.5,96.0
4.768,20.4,98.0
4.768,20.6,98.0
4.772,20.5,98.0
4.764,20.6,98.0
4.76,20.6,98.0
4.768,20.5,98.0
4.764,20.5,98.0
4.76,20.6,98.0
4.768,20.6,98.0
4.76,20.6,98.0
4.768,20.5,98.0
4.768,20.3,98.0
4.764,20.5,98.0
4.768,20.4,98.0
4.76,20.5,98.0
4.764,20.5,98.0
4.764,20.5,98.0
4.764,20.3,98.0
4.768,20.5,96.0
4.764,20.6,98.0
4.764,20.4,98.0
4.764,20.3,98.0
4.764,20.8,98.0
4.768,20.7,98.0
4.768,20.2,96.0
4.764,20.5,98.0
4.768,20.5,98.0
4.764,20.8,98.0
4.772,20.6,98.0
4.764,20.5,98.0
4.76,20.5,98.0
4.772,20.6,98.0
4.764,20.7,98.0
4.768,20.5,98.0
4.772,20.5,96.0
4.76,20.5,98.0
4.768,20.7,98.0
4.764,20.3,98.0
4.764,20.8,98.0
4.768,20.2,96.0
4.768,19.9,96.0
4.772,19.9,96.0
4.768,20.0,96.0
4.764,19.9,96.0
4.768,19.9,96.0
4.764,19.8,96.0
4.768,19.9,96.0
4.768,20.2,96.0
4.764,19.8,96.0
4.768,19.7,96.0
4.764,19.9,98.0
4.764,19.9,96.0
4.772,20.0,96.0
4.764,19.9,96.0
4.768,19.8,96.0
4.768,20.1,96.0
4.76,19.9,96.0
4.772,19.9,96.0
4.764,19.7,96.0
4.764,19.9,96.0
4.772,20.1,96.0
4.76,20.1,96.0
4.776,20.0,96.0
4.764,19.9,96.0
4.76,19.9,96.0
4.768,19.9,96.0
4.764,19.7,96.0
4.772,20.0,96.0
4.764,19.9,96.0
4.764,19.8,96.0
4.768,19.9,96.0
4.764,20.0,96.0
4.768,19.8,96.0
4.768,19.9,96.0
4.768,20.0,96.0
4.772,20.0,96.0
4.764,19.7,96.0
4.768,20.0,96.0
4.768,19.9,96.0
4.764,20.0,96.0
4.772,19.8,96.0
4.768,19.6,92.0
4.76,19.9,96.0
4.768,19.8,96.0
4.764,19.7,96.0
4.768,19.9,96.0
4.768,19.9,96.0
4.764,19.9,96.0
4.768,19.9,96.0
4.768,20.2,96.0
4.764,20.2,96.0
4.768,19.9,96.0
4.764,20.1,96.0
4.772,19.9,96.0
4.768,20.2,96.0
4.764,20.0,96.0
4.768,19.9,96.0
4.768,20.1,96.0
4.768,19.8,96.0
4.764,19.9,96.0
4.764,19.9,96.0
4.768,20.0,96.0
4.764,20.0,96.0
4.764,20.2,96.0
4.768,19.9,96.0
4.764,19.8,96.0
4.768,19.8,96.0
4.768,20.0,96.0
4.76,20.3,96.0
4.768,19.9,96.0
4.764,20.1,96.0
4.772,19.6,96.0
4.764,20.0,96.0
4.764,19.9,96.0
4.772,19.7,96.0
4.764,19.8,96.0
4.772,20.3,98.0
4.768,19.8,96.0
4.764,19.7,96.0
4.768,19.9,96.0
4.768,20.1,96.0
4.764,20.0,96.0
4.768,19.9,96.0
4.764,19.9,96.0
4.772,19.7,96.0
4.768,20.0,96.0
4.764,20.1,96.0
4.768,19.9,96.0
4.764,20.0,96.0
4.764,20.2,96.0
4.768,20.0,96.0
4.768,20.0,96.0
4.768,19.8,96.0
4.768,20.0,96.0
4.76,19.9,96.0
4.768,19.7,96.0
4.764,20.0,96.0
4.768,20.1,96.0
4.768,19.9,96.0
4.764,19.8,96.0
4.772,20.0,96.0
4.764,19.9,96.0
4.772,20.0,96.0
4.768,20.0,96.0
4.76,20.1,96.0
4.772,19.9,96.0
4.768,20.0,96.0
4.764,20.1,96.0
4.768,19.9,96.0
4.764,20.0,96.0
4.772,19.8,96.0
4.768,19.9,96.0
4.764,19.9,96.0
4.768,19.7,96.0
4.764,19.9,96.0
4.768,19.9,96.0
4.768,20.0,96.0
4.764,20.0,96.0
4.768,19.8,96.0
4.764,20.0,96.0
4.764,19.8,96.0
4.768,20.0,96.0
4.764,19.9,96.0
4.772,19.9,96.0
4.768,20.1,96.0
4.764,19.8,96.0
4.768,19.8,96.0
4.76,19.6,96.0
4.768,20.2,96.0
4.768,19.9,96.0
4.764,19.9,96.0
4.772,20.0,96.0
4.768,19.8,96.0
4.76,20.0,96.0
4.768,19.9,96.0
4.764,19.8,96.0
4.768,19.7,96.0
4.764,20.0,96.0
4.764,19.9,98.0
4.772,19.9,96.0
4.764,19.8,96.0
4.768,20.1,96.0
4.768,19.9,96.0
4.764,20.3,96.0
4.764,19.7,96.0
4.768,19.9,96.0
4.772,20.0,96.0
4.768,19.9,96.0
4.764,20.0,96.0
4.772,19.9,96.0
4.764,19.9,96.0
4.768,19.8,96.0
4.772,20.2,96.0
4.764,19.9,96.0
4.768,20.1,96.0
4.764,19.8,96.0
4.76,19.9,96.0
4.768,19.8,96.0
4.768,20.1,96.0
4.772,19.9,96.0
4.768,20.0,96.0
4.768,19.9,96.0
4.768,20.0,96.0
4.768,20.0,96.0
4.768,20.0,96.0
4.768,19.9,96.0
4.764,19.9,96.0
4.772,20.2,96.0
4.764,19.6,96.0
4.764,19.9,96.0
4.772,20.1,96.0
4.768,19.9,96.0
4.764,20.0,96.0
4.764,20.1,96.0
4.764,19.8,96.0
4.768,20.1,96.0
4.76,20.0,96.0
4.764,20.2,96.0
4.772,20.1,96.0
4.764,19.9,96.0
4.772,20.3,96.0
4.768,20.1,96.0
4.764,20.1,96.0
4.768,19.9,96.0
4.768,20.0,96.0
4.776,19.9,96.0
4.768,20.0,96.0
4.764,19.9,96.0
4.768,19.7,96.0
4.768,19.9,96.0
4.764,20.0,96.0
4.768,20.5,96.0
4.764,20.1,96.0
4.768,19.8,96.0
4.768,19.8,96.0
4.76,19.7,96.0
4.768,20.0,96.0
4.768,20.0,96.0
4.768,19.8,96.0
4.768,19.9,96.0
4.764,19.9,96.0
4.772,19.9,96.0
4.76,19.8,96.0
4.764,19.8,96.0
4.768,19.9,96.0
4.764,20.1,96.0
4.772,19.9,96.0
4.768,20.0,96.0
4.764,20.0,96.0
4.768,20.0,96.0
4.768,19.9,96.0
4.772,20.2,96.0
4.768,20.0,96.0
4.764,19.9,96.0
4.768,19.8,96.0
4.768,19.8,96.0
4.768,20.0,96.0
4.768,20.1,96.0
4.764,19.9,96.0
4.768,19.9,96.0
4.768,19.7,96.0
4.76,20.1,96.0
4.764,20.2,96.0
4.764,19.7,96.0
4.772,20.0,96.0
4.768,19.8,96.0
4.76,20.1,96.0
4.768,20.0,96.0
4.764,20.1,96.0
4.772,20.0,96.0
4.768,20.2,96.0
4.764,19.9,96.0
4.768,20.0,96.0
4.764,20.0,96.0
4.768,19.8,96.0
4.768,19.6,96.0
4.764,19.9,96.0
4.768,19.9,96.0
4.768,19.6,96.0
4.764,19.8,96.0
4.768,20.1,96.0
4.764,19.9,96.0
4.768,19.9,96.0
4.768,20.0,96.0
4.768,19.9,96.0
4.768,19.9,92.0
4.768,20.0,96.0
4.76,20.0,96.0
4.764,20.2,96.0
