Bus Voltage (V),Current (mA),Power (mW)
4.776,21.0,102.0
4.776,20.4,96.0
4.78,20.9,98.0
4.78,20.8,98.0
4.78,20.6,98.0
4.78,20.8,98.0
4.776,20.7,98.0
4.776,20.5,98.0
4.78,20.8,98.0
4.78,20.8,98.0
4.78,20.6,98.0
4.776,20.2,96.0
4.78,20.8,98.0
4.78,20.9,98.0
4.78,20.3,98.0
4.78,20.7,98.0
4.784,20.9,98.0
4.78,20.9,98.0
4.78,20.7,98.0
4.78,20.3,98.0
4.78,20.5,98.0
4.776,20.8,98.0
4.78,20.6,98.0
4.784,21.0,98.0
4.776,20.7,98.0
4.776,20.3,98.0
4.78,20.7,102.0
4.776,20.6,98.0
4.78,20.6,98.0
4.78,20.7,98.0
4.78,20.3,98.0
4.776,20.7,98.0
4.78,21.0,102.0
4.776,20.3,98.0
4.78,20.9,98.0
4.78,21.1,102.0
4.78,20.5,98.0
4.78,20.8,98.0
4.78,20.8,98.0
4.78,20.8,98.0
4.78,20.1,98.0
4.78,20.4,98.0
4.776,20.9,98.0
4.78,20.4,98.0
4.776,21.0,98.0
4.78,20.9,98.0
4.78,20.5,98.0
4.78,20.7,98.0
4.776,20.8,98.0
4.78,20.5,98.0
4.78,20.7,102.0
4.78,20.3,98.0
4.78,21.0,102.0
4.776,20.7,98.0
4.78,20.8,98.0
4.784,20.6,98.0
4.776,21.0,102.0
4.776,20.3,98.0
4.78,20.3,98.0
4.78,21.0,102.0
4.78,20.6,98.0
4.78,20.3,98.0
4.78,20.8,98.0
4.78,20.6,98.0
4.776,20.8,98.0
4.776,20.3,98.0
4.78,20.8,98.0
4.78,20.8,98.0
4.776,20.5,98.0
4.776,20.4,98.0
4.78,20.9,98.0
4.78,20.7,98.0
4.776,20.3,96.0
4.78,20.7,98.0
4.776,20.7,98.0
4.776,20.3,98.0
4.776,20.7,98.0
4.78,20.7,98.0
4.776,20.3,98.0
4.78,20.8,98.0
4.776,20.6,98.0
4.78,20.8,98.0
4.78,20.7,98.0
4.78,20.8,98.0
4.78,20.2,96.0
4.776,20.8,102.0
4.78,20.6,98.0
4.784,20.5,98.0
4.78,21.1,102.0
4.776,20.3,98.0
4.776,20.6,98.0
4.776,20.7,98.0
4.776,20.5,98.0
4.784,20.8,98.0
4.78,20.8,98.0
4.78,20.8,98.0
4.776,20.1,98.0
4.78,20.7,98.0
4.776,20.9,98.0
4.78,20.4,98.0
4.78,21.0,98.0
4.78,20.7,98.0
4.784,20.6,98.0
4.78,20.9,98.0
4.78,20.8,98.0
4.78,20.9,98.0
4.78,20.6,98.0
4.776,20.9,98.0
4.776,20.7,98.0
4.776,20.2,96.0
4.776,20.7,98.0
4.78,20.9,98.0
4.78,20.8,98.0
4.78,20.8,98.0
4.776,20.7,98.0
4.78,20.3,98.0
4.78,20.6,98.0
4.78,20.5,96.0
4.78,20.7,98.0
4.78,20.6,98.0
4.776,20.6,98.0
4.776,20.7,98.0
4.78,21.0,102.0
4.78,20.9,98.0
4.78,20.5,98.0
4.78,20.9,98.0
4.78,20.7,98.0
4.776,20.2,96.0
4.78,20.8,98.0
4.78,20.6,98.0
4.78,20.2,96.0
4.776,20.6,96.0
4.78,20.8,98.0
4.78,20.1,96.0
4.78,20.2,96.0
4.78,20.6,98.0
4.776,20.8,98.0
4.78,20.8,98.0
4.776,20.1,98.0
4.776,20.8,98.0
4.78,20.9,98.0
4.78,20.3,98.0
4.776,20.7,102.0
4.776,20.8,98.0
4.776,20.2,96.0
4.78,20.7,98.0
4.776,20.9,98.0
4.776,20.7,98.0
4.78,20.9,98.0
4.78,20.3,98.0
4.78,20.5,98.0
4.776,20.9,98.0
4.78,20.3,98.0
4.776,21.1,98.0
4.78,20.8,98.0
4.78,20.2,96.0
4.78,20.9,98.0
4.78,20.9,98.0
4.78,20.6,98.0
4.776,21.0,98.0
4.776,20.6,98.0
4.78,20.3,98.0
4.776,20.0,96.0
4.78,19.8,96.0
4.78,20.2,96.0
4.78,20.1,96.0
4.78,19.9,98.0
4.78,19.7,96.0
4.78,19.7,96.0
4.78,20.2,96.0
4.78,19.9,98.0
4.78,19.9,96.0
4.776,20.3,98.0
4.78,20.2,96.0
4.78,20.0,96.0
4.78,20.1,96.0
4.776,20.1,96.0
4.776,19.7,96.0
4.776,19.9,96.0
4.78,20.3,98.0
4.78,20.1,96.0
