Bus Voltage (V),Current (mA),Power (mW)
4.744,18.0,86.0
4.736,17.6,82.0
4.744,17.7,86.0
4.744,17.7,86.0
4.744,17.6,82.0
4.74,17.9,86.0
4.74,17.5,82.0
4.744,17.5,86.0
4.744,17.6,82.0
4.74,17.5,82.0
4.744,18.0,86.0
4.74,17.5,82.0
4.744,17.5,82.0
4.74,17.5,82.0
4.744,17.7,82.0
4.744,17.8,86.0
4.74,17.4,82.0
4.744,17.8,86.0
4.74,17.8,86.0
4.744,17.8,82.0
4.744,17.6,82.0
4.744,17.6,86.0
4.744,17.6,82.0
4.74,18.0,86.0
4.744,17.7,82.0
4.744,17.5,82.0
4.744,17.7,86.0
4.744,18.0,86.0
4.744,17.5,82.0
4.744,17.6,82.0
4.74,17.5,82.0
4.748,17.6,86.0
4.744,17.7,86.0
4.744,17.7,82.0
4.744,17.6,82.0
4.74,17.8,86.0
4.744,17.5,86.0
4.744,18.0,86.0
4.748,17.6,86.0
4.744,17.8,86.0
4.74,17.5,82.0
4.744,17.5,82.0
4.744,17.5,82.0
4.744,17.6,82.0
4.744,17.9,86.0
4.744,17.7,86.0
4.744,17.5,86.0
4.736,21.3,102.0
4.74,21.3,102.0
4.74,21.2,102.0
4.736,20.9,98.0
4.74,21.1,98.0
4.736,21.3,102.0
4.74,20.9,102.0
4.74,20.9,98.0
4.736,21.0,98.0
4.74,20.8,98.0
4.736,21.2,102.0
4.736,21.0,102.0
4.74,21.2,102.0
4.74,21.0,98.0
4.74,21.4,102.0
4.736,21.2,102.0
4.74,21.2,102.0
4.736,20.8,98.0
4.736,21.0,102.0
4.74,21.0,98.0
4.736,21.0,98.0
4.74,20.9,98.0
4.736,21.3,102.0
4.74,21.2,98.0
4.74,21.1,98.0
4.736,21.4,102.0
4.736,21.1,98.0
4.74,20.8,98.0
4.74,21.0,102.0
4.74,21.3,102.0
4.736,21.1,98.0
4.74,20.7,98.0
4.736,21.1,98.0
4.74,21.2,102.0
4.736,21.0,98.0
4.736,20.8,98.0
4.74,21.1,98.0
4.736,21.2,102.0
4.736,20.9,98.0
4.736,21.1,98.0
4.736,21.0,102.0
4.74,21.3,102.0
4.736,21.2,102.0
4.736,21.1,102.0
4.74,21.5,102.0
4.74,21.2,98.0
4.74,21.1,98.0
4.736,21.4,102.0
4.736,21.0,102.0
4.74,21.0,98.0
4.736,21.2,102.0
4.74,21.1,98.0
4.736,21.2,102.0
4.74,21.0,98.0
4.736,21.0,98.0
4.736,20.9,98.0
4.736,21.2,102.0
4.736,21.1,98.0
4.74,21.0,102.0
4.736,21.3,102.0
4.736,21.2,102.0
4.74,21.0,98.0
4.74,21.1,98.0
4.736,21.2,102.0
4.736,21.1,98.0
4.736,21.1,102.0
4.74,21.1,98.0
4.736,21.1,102.0
4.736,21.3,102.0
4.732,21.3,102.0
4.736,21.2,98.0
4.736,20.9,98.0
4.736,21.1,98.0
4.736,21.2,102.0
4.736,21.1,98.0
4.74,21.0,98.0
4.736,20.9,98.0
4.736,21.1,102.0
4.736,21.2,102.0
4.736,21.1,98.0
4.74,20.7,98.0
4.736,21.3,102.0
4.736,21.0,98.0
4.74,21.1,98.0
4.736,20.9,98.0
4.74,21.1,98.0
4.736,21.4,102.0
4.744,21.2,102.0
4.736,21.3,102.0
4.74,21.4,98.0
4.736,20.8,98.0
4.736,21.2,102.0
4.74,21.1,98.0
4.74,21.1,98.0
4.736,21.0,102.0
4.74,20.9,98.0
4.732,21.3,102.0
4.74,21.1,98.0
4.736,21.0,98.0
4.74,21.0,102.0
4.744,21.2,102.0
4.74,21.2,102.0
4.74,21.1,102.0
4.74,21.2,102.0
4.74,20.9,98.0
4.74,21.0,98.0
4.736,21.2,102.0
4.74,20.8,102.0
4.74,21.0,98.0
4.744,21.1,98.0
4.74,21.2,102.0
4.736,21.4,102.0
4.74,21.0,98.0
4.74,21.2,102.0
4.74,20.9,102.0
4.736,21.3,102.0
4.74,21.1,98.0
4.74,21.3,102.0
4.736,21.2,102.0
4.736,21.2,98.0
