Bus Voltage (V),Current (mA),Power (mW)
4.672,45.4,212.0
4.676,45.8,212.0
4.668,46.2,216.0
4.676,45.7,212.0
4.68,46.5,216.0
4.676,45.3,212.0
4.684,45.7,212.0
4.684,45.8,216.0
4.68,45.7,212.0
4.684,46.3,216.0
4.676,45.8,216.0
4.684,45.9,212.0
4.676,46.3,216.0
4.668,45.6,212.0
4.68,46.3,216.0
4.672,46.1,216.0
4.676,46.0,216.0
4.672,46.8,220.0
4.68,45.6,212.0
4.676,46.5,216.0
4.68,46.3,216.0
4.68,46.1,216.0
4.688,46.3,216.0
4.68,45.3,212.0
4.68,46.6,220.0
4.684,46.1,216.0
4.68,45.8,212.0
4.68,46.7,220.0
4.672,45.8,212.0
4.688,46.6,216.0
4.68,46.1,216.0
4.688,45.8,212.0
4.68,46.4,216.0
4.688,45.5,212.0
4.688,45.8,216.0
4.688,46.2,216.0
4.688,46.1,216.0
4.684,46.4,216.0
4.688,45.5,212.0
4.684,46.2,216.0
4.684,46.1,216.0
4.684,45.4,212.0
4.688,46.4,216.0
4.684,45.9,216.0
4.692,45.8,212.0
4.688,46.1,216.0
4.688,45.6,212.0
4.688,47.4,222.0
4.684,46.9,220.0
4.632,67.5,222.0
4.68,47.3,222.0
4.684,46.5,222.0
4.68,68.4,318.0
4.684,46.8,220.0
4.684,47.1,220.0
4.684,47.2,220.0
4.632,64.5,302.0
4.688,47.5,222.0
4.68,47.3,222.0
4.68,67.7,312.0
4.636,47.6,222.0
4.676,46.9,216.0
4.684,47.6,222.0
4.652,68.2,314.0
4.68,46.9,220.0
4.676,47.5,222.0
4.684,46.5,216.0
4.62,47.8,222.0
4.68,47.5,222.0
4.676,46.8,220.0
4.68,64.9,314.0
4.676,46.6,216.0
4.676,47.4,220.0
4.68,47.3,220.0
4.616,67.8,314.0
4.68,47.6,222.0
4.676,46.9,220.0
4.68,48.5,222.0
4.62,47.3,220.0
4.684,46.6,216.0
4.68,47.6,222.0
4.62,67.8,308.0
4.68,46.9,220.0
4.672,47.2,222.0
4.68,46.5,216.0
4.616,64.2,302.0
4.68,46.7,220.0
4.672,47.2,220.0
4.676,68.0,314.0
4.668,46.7,220.0
4.68,47.5,222.0
4.672,47.6,222.0
4.608,67.8,220.0
4.672,47.4,222.0
4.672,46.5,220.0
4.676,47.6,220.0
4.636,47.2,220.0
4.672,47.0,220.0
4.668,47.3,220.0
4.676,67.7,312.0
4.672,47.8,222.0
4.672,47.3,220.0
4.672,46.9,220.0
4.612,50.5,222.0
4.672,46.6,216.0
4.668,47.7,222.0
4.668,68.2,314.0
4.668,47.3,220.0
4.668,47.7,222.0
4.664,46.7,216.0
4.616,63.3,294.0
4.668,47.3,220.0
4.672,47.2,216.0
4.668,47.6,314.0
4.604,46.9,220.0
4.672,47.3,220.0
4.66,47.4,220.0
4.608,67.8,312.0
4.664,47.4,220.0
4.672,46.8,220.0
4.664,46.8,216.0
4.608,47.0,220.0
4.664,46.7,220.0
4.668,47.6,222.0
4.664,64.4,314.0
4.66,47.1,220.0
4.668,46.9,220.0
4.668,46.8,220.0
4.604,68.3,318.0
4.664,47.6,222.0
4.668,47.1,220.0
4.664,48.8,226.0
4.652,46.9,220.0
4.664,47.4,222.0
4.668,46.8,222.0
4.612,67.8,304.0
4.664,47.6,222.0
4.672,46.7,216.0
4.664,47.3,220.0
4.616,47.3,220.0
4.664,46.9,220.0
4.668,47.7,222.0
4.664,67.6,312.0
4.664,46.9,220.0
4.664,47.3,220.0
4.668,46.6,216.0
4.604,68.4,222.0
4.66,46.9,220.0
4.664,47.4,220.0
4.664,64.4,314.0
4.664,46.9,220.0
4.664,47.5,222.0
4.668,46.7,220.0
4.608,67.9,312.0
4.668,47.2,220.0
4.664,46.8,220.0
4.672,49.1,226.0
4.604,47.3,220.0
4.66,47.1,220.0
4.668,47.2,222.0
4.604,68.0,304.0
4.668,47.5,222.0
4.656,47.2,220.0
4.668,47.2,220.0
4.592,64.6,302.0
4.664,46.7,216.0
4.664,47.5,222.0
4.668,68.2,314.0
4.656,47.1,220.0
4.66,47.5,222.0
4.664,46.8,220.0
4.6,68.4,318.0
4.664,47.4,220.0
4.66,47.0,220.0
4.664,47.2,220.0
4.6,46.7,220.0
4.672,47.2,220.0
4.66,47.4,220.0
4.624,67.9,312.0
4.668,47.8,222.0
4.66,47.2,216.0
4.668,47.5,222.0
4.604,68.3,318.0
4.668,46.7,220.0
4.672,47.4,222.0
4.668,67.7,312.0
4.652,47.1,220.0
4.672,47.4,220.0
4.664,46.7,220.0
4.612,68.2,304.0
4.668,46.6,222.0
