Bus Voltage (V),Current (mA),Power (mW)
4.72,48.2,226.0
4.716,49.2,232.0
4.716,49.1,232.0
4.72,48.0,226.0
4.716,48.0,226.0
4.72,48.4,230.0
4.716,48.1,226.0
4.72,49.3,232.0
4.716,48.6,232.0
4.716,48.8,230.0
4.716,48.1,226.0
4.72,48.4,230.0
4.72,47.8,226.0
4.724,48.0,226.0
4.716,48.4,232.0
4.712,48.6,226.0
4.716,49.2,232.0
4.712,48.5,230.0
4.72,48.4,226.0
4.716,65.6,308.0
4.72,48.4,324.0
4.712,54.3,322.0
4.696,70.2,328.0
4.676,70.1,328.0
4.68,70.0,328.0
4.676,69.7,328.0
4.68,64.5,304.0
4.676,69.2,226.0
4.676,67.4,230.0
4.676,48.7,230.0
4.692,49.4,232.0
4.676,49.2,232.0
4.708,49.5,232.0
4.716,48.2,226.0
4.72,48.8,230.0
4.72,48.1,226.0
4.716,48.2,226.0
4.724,48.8,230.0
4.716,49.0,230.0
4.72,48.4,230.0
4.716,49.9,232.0
4.72,47.8,226.0
4.72,48.0,226.0
4.716,48.6,230.0
4.72,47.8,226.0
4.716,48.4,230.0
4.716,49.5,232.0
4.712,48.0,230.0
4.72,49.3,230.0
4.72,48.5,230.0
4.72,48.0,226.0
4.716,48.1,226.0
4.724,48.2,226.0
4.716,48.4,230.0
4.72,49.5,230.0
4.72,48.8,236.0
4.712,49.6,232.0
4.72,63.0,294.0
4.72,69.3,324.0
4.716,69.1,324.0
4.716,65.8,324.0
4.676,70.1,330.0
4.676,69.8,328.0
4.68,70.7,330.0
4.676,69.9,328.0
4.684,69.2,324.0
4.676,48.8,230.0
4.68,53.4,226.0
4.688,48.3,226.0
4.716,49.6,232.0
4.716,48.9,230.0
4.708,49.3,232.0
4.72,49.0,232.0
4.716,48.4,230.0
4.716,48.1,226.0
4.72,48.5,230.0
4.716,48.1,226.0
4.712,49.1,232.0
4.716,49.0,232.0
4.712,48.8,230.0
4.716,48.2,226.0
4.72,48.5,230.0
4.72,47.6,226.0
4.72,48.3,230.0
4.716,49.1,232.0
4.716,48.6,230.0
4.716,48.6,230.0
4.716,49.5,232.0
4.716,47.7,226.0
4.72,48.7,230.0
4.72,48.3,230.0
4.72,47.9,226.0
4.712,48.5,230.0
4.72,49.4,232.0
4.712,48.2,242.0
4.72,49.1,230.0
4.716,57.5,268.0
4.712,69.0,322.0
4.72,69.8,328.0
4.692,69.6,324.0
4.676,69.3,330.0
4.668,70.4,294.0
4.68,70.5,330.0
4.676,69.7,328.0
4.68,53.3,252.0
4.672,48.2,226.0
4.696,47.8,226.0
4.692,48.5,230.0
4.72,49.0,232.0
4.712,49.0,232.0
4.716,49.6,232.0
4.712,48.6,230.0
4.716,48.0,226.0
4.716,48.8,230.0
4.712,47.7,230.0
4.716,48.2,230.0
4.716,50.1,236.0
4.716,48.2,226.0
4.712,49.0,232.0
4.72,48.6,230.0
4.712,47.8,226.0
4.72,47.9,226.0
4.716,48.5,230.0
4.72,48.2,226.0
4.716,49.1,232.0
4.72,49.1,232.0
4.716,48.3,230.0
4.712,48.9,226.0
4.716,48.1,230.0
4.716,47.9,226.0
4.72,48.5,230.0
4.716,51.9,242.0
4.716,69.6,324.0
4.716,49.1,330.0
4.72,70.5,328.0
4.688,69.0,322.0
4.68,70.0,328.0
4.676,69.7,328.0
4.684,69.2,324.0
4.68,49.6,232.0
4.668,70.4,232.0
4.676,53.3,230.0
4.692,49.1,232.0
4.716,47.9,226.0
4.68,47.8,226.0
4.712,48.6,230.0
4.716,48.8,230.0
4.724,48.7,232.0
4.716,49.4,232.0
4.72,48.8,230.0
4.72,48.3,230.0
4.724,48.6,230.0
4.716,47.8,226.0
4.716,48.3,226.0
4.716,48.7,230.0
4.712,48.6,230.0
4.716,48.6,230.0
4.716,49.8,236.0
4.716,47.8,226.0
4.72,48.0,226.0
4.716,48.2,230.0
4.716,47.6,226.0
4.72,48.4,230.0
4.716,49.4,232.0
4.712,48.2,226.0
4.72,48.9,230.0
4.72,48.3,230.0
4.716,47.7,226.0
4.712,48.8,278.0
4.72,48.4,230.0
4.716,48.0,226.0
4.724,70.3,328.0
4.712,70.5,330.0
4.72,69.6,324.0
4.692,69.2,324.0
4.684,69.4,328.0
4.676,69.3,324.0
4.68,69.6,328.0
4.676,65.8,312.0
4.68,52.5,250.0
4.676,70.0,236.0
4.688,49.1,230.0
4.72,48.2,222.0
4.716,48.8,230.0
4.72,48.5,230.0
4.72,48.0,226.0
4.72,49.7,236.0
4.716,48.5,230.0
4.72,48.9,232.0
4.716,48.9,230.0
4.724,47.8,226.0
4.716,48.3,230.0
4.724,48.6,230.0
4.72,48.1,226.0
4.716,49.2,232.0
4.716,49.4,232.0
4.712,48.6,230.0
4.724,48.2,226.0
4.716,48.5,230.0
4.724,47.9,226.0
4.716,48.0,226.0
4.72,48.4,232.0
4.716,49.0,230.0
4.72,49.2,232.0
4.712,49.3,232.0
4.72,47.7,226.0
4.72,48.4,226.0
4.716,48.2,266.0
4.72,47.9,322.0
4.72,54.8,328.0
4.716,70.4,330.0
4.684,69.9,328.0
4.72,70.7,330.0
4.676,69.7,328.0
4.68,68.8,268.0
4.676,69.8,230.0
4.68,65.7,308.0
4.676,49.5,232.0
4.7,49.3,232.0
4.676,49.0,232.0
4.684,48.5,230.0
4.712,48.9,230.0
4.712,47.8,226.0
4.72,48.0,226.0
4.716,48.8,230.0
4.724,48.7,230.0
4.716,48.9,230.0
4.72,49.8,236.0
4.712,48.4,226.0
4.724,47.9,226.0
4.72,48.6,230.0
4.724,47.8,226.0
4.716,48.3,230.0
4.72,50.0,236.0
4.716,48.6,230.0
4.716,49.4,232.0
4.72,48.4,230.0
4.716,47.7,226.0
4.72,48.0,226.0
4.716,48.4,230.0
4.72,47.7,226.0
4.716,49.5,232.0
4.724,48.6,232.0
4.716,48.9,230.0
4.728,48.7,230.0
4.716,61.5,288.0
4.728,54.2,252.0
4.72,69.4,324.0
4.72,69.8,324.0
4.684,70.3,328.0
4.672,70.1,328.0
4.684,70.6,330.0
4.676,69.2,324.0
4.684,69.8,330.0
4.672,69.6,230.0
4.68,69.1,226.0
4.692,48.9,230.0
4.72,49.3,232.0
4.716,48.7,230.0
4.704,49.4,232.0
4.716,48.2,226.0
4.72,48.1,226.0
4.72,48.8,230.0
4.716,47.9,226.0
4.72,48.8,230.0
4.716,49.3,232.0
4.72,48.8,230.0
4.716,48.5,230.0
4.72,48.6,230.0
4.716,48.0,226.0
4.724,48.0,226.0
4.716,48.4,230.0
4.724,48.3,226.0
4.716,48.9,230.0
4.724,49.2,232.0
4.712,48.5,226.0
4.72,48.4,226.0
4.72,48.4,230.0
4.712,47.6,226.0
4.72,48.8,230.0
4.712,49.2,232.0
4.72,48.4,230.0
4.716,49.5,240.0
4.72,48.4,230.0
4.72,49.6,232.0
4.724,69.7,324.0
4.716,69.8,328.0
4.72,69.4,324.0
4.676,70.4,330.0
4.676,70.4,286.0
4.676,70.2,328.0
4.68,68.2,322.0
4.676,49.2,232.0
4.676,48.2,226.0
4.68,48.7,230.0
4.704,47.9,230.0
4.72,49.1,232.0
4.716,49.1,232.0
4.72,49.0,230.0
4.712,48.4,230.0
4.724,48.6,230.0
4.716,47.5,226.0
4.72,48.3,226.0
4.716,48.8,230.0
4.712,49.1,232.0
4.72,48.5,230.0
4.716,49.8,236.0
