Bus Voltage (V),Current (mA),Power (mW)
4.72,47.4,222.0
4.724,46.8,220.0
4.716,47.3,222.0
4.72,48.3,230.0
4.72,47.4,222.0
4.72,48.0,226.0
4.72,47.8,226.0
4.724,47.0,222.0
4.72,47.4,222.0
4.724,47.6,226.0
4.72,47.4,222.0
4.716,48.0,226.0
4.724,47.9,226.0
4.716,47.5,222.0
4.72,47.4,222.0
4.716,47.4,222.0
4.72,46.7,220.0
4.72,47.1,222.0
4.724,47.6,226.0
4.72,47.5,222.0
4.724,47.5,222.0
4.72,48.5,230.0
4.724,46.9,222.0
4.724,46.9,222.0
4.72,47.7,226.0
4.724,46.9,220.0
4.72,47.2,222.0
4.72,48.5,230.0
4.712,47.5,222.0
4.72,47.9,226.0
4.716,48.4,226.0
4.724,47.1,222.0
4.724,47.2,222.0
4.724,47.7,226.0
4.72,46.7,220.0
4.724,47.5,222.0
4.72,48.2,226.0
4.72,47.3,222.0
4.72,48.9,226.0
4.716,47.4,222.0
4.72,47.1,222.0
4.72,47.4,222.0
4.724,47.4,222.0
4.72,47.2,222.0
4.72,48.8,226.0
4.692,72.3,338.0
4.724,48.9,230.0
4.668,54.8,258.0
4.684,73.7,344.0
4.72,47.9,226.0
4.728,48.9,230.0
4.676,72.7,348.0
4.712,50.5,236.0
4.72,49.2,232.0
4.668,74.1,348.0
4.676,73.1,340.0
4.72,49.0,232.0
4.72,48.5,230.0
4.672,73.4,344.0
4.724,48.6,230.0
4.72,49.7,236.0
4.676,72.7,340.0
4.684,74.9,350.0
4.72,49.2,230.0
4.72,48.2,226.0
4.676,73.3,344.0
4.72,48.5,230.0
4.716,48.2,226.0
4.672,74.3,348.0
4.672,73.8,338.0
4.724,48.4,230.0
4.708,49.7,236.0
4.676,73.5,344.0
4.716,48.5,230.0
4.724,48.8,230.0
4.676,72.8,340.0
4.716,72.5,348.0
4.72,49.9,232.0
4.68,48.5,230.0
4.676,74.0,348.0
4.72,48.9,230.0
4.716,48.8,230.0
4.672,72.8,340.0
4.72,61.4,344.0
4.72,48.2,230.0
4.676,73.2,344.0
4.672,74.2,348.0
4.72,49.4,232.0
4.72,48.4,230.0
4.68,73.0,344.0
4.72,48.2,340.0
4.724,48.4,230.0
4.676,60.7,286.0
4.676,72.9,340.0
4.72,48.7,230.0
4.716,49.4,236.0
4.676,73.7,344.0
4.716,48.4,334.0
4.728,48.9,230.0
4.668,73.4,344.0
4.68,73.4,344.0
4.716,49.8,236.0
4.72,48.6,230.0
4.676,73.0,348.0
4.72,49.5,232.0
4.72,48.3,230.0
4.668,72.7,340.0
4.7,72.7,340.0
4.72,48.3,230.0
4.716,48.9,232.0
4.672,73.7,348.0
4.72,48.3,230.0
4.716,48.9,230.0
4.68,72.3,338.0
4.708,72.8,340.0
4.724,49.0,230.0
4.696,48.3,230.0
4.684,73.1,340.0
4.716,49.0,232.0
4.724,48.8,230.0
4.672,74.2,348.0
4.716,73.0,340.0
4.724,48.6,230.0
4.668,48.5,226.0
4.684,73.0,340.0
4.72,48.6,230.0
4.724,48.7,230.0
4.672,73.6,344.0
4.724,58.5,350.0
4.72,47.9,226.0
4.68,72.5,340.0
4.676,73.4,344.0
4.716,48.1,226.0
4.72,49.3,232.0
4.676,74.8,350.0
4.72,48.5,338.0
4.716,49.8,232.0
4.676,74.0,348.0
4.672,73.0,340.0
4.724,49.0,232.0
4.716,48.5,230.0
4.68,73.0,340.0
4.72,49.6,338.0
4.728,49.1,232.0
4.676,72.7,340.0
4.684,73.8,344.0
4.716,48.8,230.0
4.708,48.3,226.0
4.68,73.9,344.0
4.716,48.5,230.0
4.724,48.6,230.0
4.672,74.5,348.0
4.708,73.2,340.0
4.716,48.5,230.0
4.696,49.0,230.0
4.672,73.8,338.0
4.728,48.2,226.0
4.72,49.1,232.0
4.684,74.6,348.0
4.72,73.0,340.0
4.716,49.3,232.0
4.676,70.7,232.0
4.676,73.0,340.0
4.724,49.0,232.0
4.72,48.8,230.0
4.68,72.2,338.0
4.72,73.4,344.0
4.72,49.1,232.0
4.672,58.5,230.0
4.684,74.4,348.0
4.724,48.8,230.0
4.724,48.6,230.0
4.676,74.1,348.0
4.716,47.9,340.0
4.72,48.9,230.0
4.672,73.3,344.0
4.676,74.0,348.0
4.712,49.5,232.0
4.724,48.8,230.0
4.676,74.1,348.0
4.724,48.5,294.0
4.724,49.1,230.0
4.68,73.5,344.0
4.676,72.7,340.0
4.728,49.2,232.0
4.676,49.3,232.0
4.672,73.7,338.0
4.72,49.0,232.0
4.716,48.1,226.0
4.676,72.9,340.0
4.72,74.2,348.0
4.72,49.3,232.0
4.684,49.1,230.0
4.68,73.2,348.0
4.72,48.2,226.0
4.728,48.6,230.0
4.676,73.9,344.0
4.728,72.8,340.0
4.72,48.8,230.0
4.672,74.1,236.0
4.676,73.9,344.0
4.716,49.1,232.0
4.724,49.0,232.0
4.672,71.9,338.0
4.724,72.2,338.0
4.72,48.7,232.0
4.68,73.8,226.0
4.676,72.8,340.0
4.728,49.5,232.0
4.72,48.7,230.0
4.68,73.4,344.0
4.72,48.6,230.0
4.72,48.1,230.0
4.676,72.9,338.0
4.676,74.0,348.0
4.724,48.8,230.0
4.72,49.0,232.0
4.68,73.7,344.0
4.716,49.0,226.0
4.724,48.9,230.0
4.68,74.0,276.0
4.684,72.0,338.0
4.724,48.5,230.0
4.684,49.2,232.0
4.672,73.4,344.0
4.724,49.2,230.0
4.72,49.6,232.0
4.672,73.1,340.0
4.688,73.7,344.0
4.72,48.5,230.0
4.68,48.4,230.0
4.672,73.8,344.0
4.724,49.7,232.0
4.716,48.4,232.0
4.68,74.8,350.0
4.688,72.0,338.0
4.724,48.3,230.0
4.68,48.8,230.0
4.68,73.8,344.0
4.72,48.3,230.0
