Bus Voltage (V),Current (mA),Power (mW)
4.692,17.5,82.0
4.692,17.8,82.0
4.712,17.8,82.0
4.7,17.7,82.0
4.716,17.4,82.0
4.728,17.8,82.0
4.732,17.7,86.0
4.72,17.9,86.0
4.72,17.6,82.0
4.728,17.7,82.0
4.728,17.5,82.0
4.732,17.5,82.0
4.732,17.7,86.0
4.728,17.9,86.0
4.728,17.4,86.0
4.732,17.4,86.0
4.736,17.4,82.0
4.736,17.6,82.0
4.736,17.6,82.0
4.74,17.8,82.0
4.744,17.5,82.0
4.744,17.7,86.0
4.74,17.5,82.0
4.74,17.6,86.0
4.74,17.7,82.0
4.74,17.7,86.0
4.74,17.4,82.0
4.74,17.8,86.0
4.74,17.6,86.0
4.74,17.5,82.0
4.74,17.4,82.0
4.74,17.6,82.0
4.744,17.6,82.0
4.74,17.5,82.0
4.74,17.4,82.0
4.74,17.6,82.0
4.74,17.6,82.0
4.74,17.5,82.0
4.744,17.7,82.0
4.74,17.5,82.0
4.744,17.6,82.0
4.74,17.7,86.0
4.74,17.5,82.0
4.744,17.5,82.0
4.744,17.5,82.0
4.74,17.5,82.0
4.74,17.5,82.0
4.724,20.8,102.0
4.72,21.0,102.0
4.728,21.2,102.0
4.72,20.9,98.0
4.72,20.6,98.0
4.724,20.9,98.0
4.724,20.9,98.0
4.728,20.7,98.0
4.728,20.8,98.0
4.724,20.8,98.0
4.728,20.9,102.0
4.724,21.0,98.0
4.728,20.8,98.0
4.728,21.0,98.0
4.728,21.1,98.0
4.732,20.8,98.0
4.732,21.3,102.0
4.728,21.2,102.0
4.732,20.9,98.0
4.732,20.8,98.0
4.732,20.7,98.0
4.732,20.8,98.0
4.732,21.0,98.0
4.732,20.6,98.0
4.732,21.4,98.0
4.732,20.8,98.0
4.732,20.6,98.0
4.732,20.6,98.0
4.732,20.8,98.0
4.732,20.6,98.0
4.732,21.0,98.0
4.736,21.1,98.0
4.732,21.1,98.0
4.732,20.6,98.0
4.732,20.6,98.0
4.732,20.8,98.0
4.732,20.8,98.0
4.732,20.9,98.0
4.732,20.8,98.0
4.736,21.0,98.0
4.736,20.9,98.0
4.732,20.5,98.0
4.732,20.9,98.0
4.732,20.7,98.0
4.732,20.9,98.0
4.732,20.9,98.0
4.732,20.7,98.0
4.732,20.9,98.0
4.736,20.7,98.0
4.736,20.8,98.0
4.732,20.9,98.0
4.732,20.8,98.0
4.736,20.9,98.0
4.732,21.2,98.0
4.732,20.8,98.0
4.732,20.9,98.0
4.736,20.6,98.0
4.732,20.9,98.0
4.736,20.7,98.0
4.732,20.5,98.0
4.736,20.6,98.0
4.732,20.8,98.0
4.732,20.9,96.0
4.732,21.0,96.0
4.732,21.0,98.0
4.732,21.0,98.0
4.732,21.3,98.0
4.736,21.0,98.0
4.732,21.1,98.0
4.736,20.8,98.0
4.736,20.6,98.0
4.732,20.9,98.0
4.736,20.6,98.0
4.732,20.9,98.0
4.736,21.2,102.0
4.736,20.6,98.0
4.736,20.8,98.0
4.732,20.3,98.0
4.736,21.0,98.0
4.732,20.9,98.0
4.732,20.7,98.0
4.736,20.3,98.0
4.732,21.0,98.0
4.736,20.8,98.0
4.736,20.8,98.0
4.736,20.7,98.0
4.736,20.4,98.0
4.736,20.9,96.0
4.732,20.8,98.0
4.736,20.8,98.0
4.736,20.8,98.0
4.736,21.0,98.0
4.736,20.7,98.0
4.736,21.0,98.0
4.736,21.1,98.0
4.732,20.9,98.0
4.732,21.1,98.0
4.732,21.3,98.0
4.736,20.9,98.0
4.736,20.6,98.0
4.736,21.0,98.0
4.732,20.8,98.0
4.736,20.7,98.0
4.736,20.2,96.0
4.736,21.3,102.0
4.732,21.1,102.0
4.736,20.9,98.0
4.736,20.8,98.0
4.74,20.9,98.0
4.736,20.7,98.0
4.736,20.6,98.0
4.732,20.8,98.0
4.736,21.0,98.0
4.732,20.9,98.0
4.74,21.0,98.0
4.736,20.7,98.0
4.736,21.2,98.0
4.732,21.0,98.0
4.736,21.0,98.0
4.736,21.3,98.0
4.736,20.8,98.0
4.732,20.6,98.0
4.732,20.3,96.0
4.736,20.9,98.0
4.736,21.1,98.0
4.732,21.1,98.0
4.736,20.6,98.0
4.74,20.7,98.0
4.736,20.9,98.0
4.736,20.9,98.0
4.736,20.8,98.0
4.736,20.8,98.0
4.736,20.7,98.0
4.736,20.9,98.0
4.736,20.8,98.0
4.736,20.6,98.0
4.736,21.0,98.0
4.736,20.5,98.0
4.736,20.9,98.0
4.736,21.2,98.0
4.736,20.9,98.0
4.736,21.0,98.0
4.732,21.2,102.0
4.736,20.9,98.0
4.736,20.7,98.0
4.736,20.7,98.0
4.736,20.7,98.0
4.732,20.6,98.0
4.736,20.9,98.0
4.732,20.8,98.0
4.736,21.3,102.0
4.736,20.9,98.0
4.736,21.1,98.0
4.736,20.8,98.0
4.736,21.0,98.0
4.736,20.8,98.0
4.736,21.0,98.0
4.736,20.8,96.0
4.736,20.8,98.0
4.74,20.3,96.0
4.736,20.8,98.0
4.74,20.8,98.0
4.736,21.0,98.0
4.736,20.9,98.0
4.736,21.0,98.0
4.74,21.0,98.0
4.74,21.0,98.0
4.736,20.8,98.0
4.736,20.7,98.0
4.736,20.5,98.0
4.736,20.8,98.0
4.736,21.0,98.0
4.736,20.5,98.0
4.736,20.6,98.0
4.736,20.6,98.0
4.736,20.8,98.0
4.736,21.0,98.0
4.736,20.9,98.0
