Bus Voltage (V),Current (mA),Power (mW)
4.628,17.5,82.0
4.7,17.0,78.0
4.744,16.9,82.0
4.672,16.9,78.0
4.676,17.2,82.0
4.68,16.8,78.0
4.68,16.8,82.0
4.676,17.6,82.0
4.676,17.5,82.0
4.68,17.3,82.0
4.684,17.6,86.0
4.684,17.8,82.0
4.68,17.5,82.0
4.684,17.4,82.0
4.684,17.8,82.0
4.684,17.6,82.0
4.688,17.7,82.0
4.684,17.6,82.0
4.68,17.7,82.0
4.68,17.7,82.0
4.68,17.7,82.0
4.68,17.6,82.0
4.676,17.6,82.0
4.68,17.6,82.0
4.676,17.5,82.0
4.672,17.9,82.0
4.664,17.8,82.0
4.664,17.6,82.0
4.66,17.6,82.0
4.656,17.8,82.0
4.652,17.6,82.0
4.652,17.8,82.0
4.644,17.7,82.0
4.64,17.8,82.0
4.636,17.7,82.0
4.636,17.8,82.0
4.632,18.0,82.0
4.632,17.9,82.0
4.632,17.9,82.0
4.628,18.0,82.0
4.624,18.0,82.0
4.628,17.8,82.0
4.632,17.8,82.0
4.632,17.9,82.0
4.632,18.0,82.0
4.6,21.7,98.0
4.6,21.4,98.0
4.596,21.8,102.0
4.596,21.6,98.0
4.6,21.6,98.0
4.6,21.7,98.0
4.604,21.5,98.0
4.608,21.6,98.0
4.608,21.5,98.0
4.612,21.4,98.0
4.616,21.6,98.0
4.616,21.8,102.0
4.612,21.4,98.0
4.616,21.3,98.0
4.616,21.7,102.0
4.616,21.5,98.0
4.62,21.3,98.0
4.624,21.6,98.0
4.62,21.2,98.0
4.624,21.2,98.0
4.62,21.6,102.0
4.628,21.4,98.0
4.624,21.6,102.0
4.628,21.2,98.0
4.628,21.5,98.0
4.628,21.4,98.0
4.628,21.5,98.0
4.632,21.4,98.0
4.628,21.6,102.0
4.628,21.2,98.0
4.632,21.7,102.0
4.628,21.3,102.0
4.628,21.0,98.0
4.628,21.4,98.0
4.628,21.1,98.0
4.628,21.7,98.0
4.628,21.2,98.0
4.628,21.3,98.0
4.632,21.4,98.0
4.628,21.4,98.0
4.628,21.2,98.0
4.632,21.7,102.0
4.628,21.5,98.0
4.628,21.6,102.0
4.632,21.8,102.0
4.632,21.8,102.0
4.632,21.6,98.0
4.632,21.4,98.0
4.636,21.4,98.0
4.636,21.5,98.0
4.636,21.5,98.0
4.636,21.4,98.0
4.632,21.4,98.0
4.632,21.5,102.0
4.636,21.1,98.0
4.632,21.8,102.0
4.632,21.4,98.0
4.632,21.3,98.0
4.636,21.5,98.0
4.632,21.6,102.0
4.636,21.1,98.0
4.636,21.5,98.0
4.636,21.5,98.0
4.64,20.9,102.0
4.64,21.5,98.0
4.64,21.4,98.0
4.64,21.3,98.0
4.64,21.0,98.0
4.644,21.6,98.0
4.644,21.4,98.0
4.64,20.8,96.0
4.648,21.7,98.0
4.644,21.5,98.0
4.644,21.1,98.0
4.648,21.1,102.0
4.644,21.3,102.0
4.644,21.4,98.0
4.644,21.0,98.0
4.648,21.5,98.0
4.648,21.4,102.0
4.644,21.1,98.0
4.644,21.5,98.0
4.644,21.3,98.0
4.644,21.0,98.0
4.648,21.6,102.0
4.648,21.0,98.0
4.648,21.6,98.0
4.648,21.7,102.0
4.652,21.6,102.0
4.648,21.6,98.0
4.648,21.3,98.0
4.648,21.6,102.0
4.644,21.6,102.0
4.644,21.6,98.0
4.648,21.3,98.0
4.652,21.4,98.0
4.644,21.2,98.0
4.648,21.5,98.0
4.648,21.3,98.0
4.648,21.4,98.0
4.648,21.4,98.0
4.648,20.8,98.0
4.652,21.7,102.0
4.644,21.4,98.0
4.648,20.8,98.0
4.648,21.6,102.0
4.648,21.6,102.0
4.648,21.3,102.0
4.648,21.4,98.0
4.652,21.4,98.0
4.648,21.2,98.0
4.648,21.3,102.0
4.652,21.6,102.0
4.648,21.3,98.0
4.644,21.2,98.0
4.648,21.4,102.0
4.648,21.1,98.0
4.644,21.1,98.0
4.648,21.6,98.0
4.648,21.3,102.0
4.644,21.5,98.0
4.648,21.4,98.0
4.648,21.3,98.0
4.644,21.2,98.0
