Bus Voltage (V),Current (mA),Power (mW)
4.716,18.1,86.0
4.716,17.9,86.0
4.716,17.9,86.0
4.716,17.6,82.0
4.716,18.0,86.0
4.716,17.9,86.0
4.716,17.5,86.0
4.716,17.8,86.0
4.712,18.0,86.0
4.716,17.8,82.0
4.712,17.9,86.0
4.716,17.7,86.0
4.712,18.0,86.0
4.712,17.9,86.0
4.716,18.1,86.0
4.716,17.6,82.0
4.716,17.8,86.0
4.716,17.9,86.0
4.716,17.8,86.0
4.72,18.0,86.0
4.72,17.9,86.0
4.716,17.7,82.0
4.716,18.2,86.0
4.716,18.1,86.0
4.716,17.8,82.0
4.716,17.7,82.0
4.712,17.5,82.0
4.72,17.7,82.0
4.72,17.8,86.0
4.716,17.8,86.0
4.72,17.9,86.0
4.72,18.0,86.0
4.716,17.7,86.0
4.716,18.3,86.0
4.716,17.8,86.0
4.716,17.7,86.0
4.716,17.7,82.0
4.716,18.0,82.0
4.712,21.3,102.0
4.708,20.9,98.0
4.708,21.1,102.0
4.708,21.4,102.0
4.708,21.3,102.0
4.708,21.2,98.0
4.708,21.2,98.0
4.708,21.4,98.0
4.712,21.4,102.0
4.704,21.0,98.0
4.708,21.2,102.0
4.712,21.5,102.0
4.712,21.3,102.0
4.708,21.2,98.0
4.704,21.4,102.0
4.708,21.3,102.0
4.708,21.6,102.0
4.708,21.2,98.0
4.712,21.0,98.0
4.708,21.1,98.0
4.708,21.0,102.0
4.712,21.0,98.0
4.704,21.4,102.0
4.712,21.0,102.0
4.708,21.5,102.0
4.708,21.5,102.0
4.708,21.4,102.0
4.708,21.2,98.0
4.708,21.1,98.0
4.708,21.0,98.0
4.708,21.2,98.0
4.712,21.0,98.0
4.708,21.6,102.0
4.712,21.3,102.0
4.708,21.4,102.0
4.704,21.5,102.0
4.708,21.1,102.0
4.708,21.2,98.0
4.708,21.0,102.0
4.712,21.1,98.0
4.708,21.5,102.0
4.708,21.2,98.0
4.712,21.6,102.0
4.708,21.6,102.0
4.708,21.4,98.0
4.712,21.1,98.0
4.708,21.2,102.0
4.708,21.2,98.0
4.704,21.0,98.0
4.712,21.2,98.0
4.708,21.4,102.0
4.708,21.1,98.0
4.712,21.5,102.0
4.708,21.3,102.0
4.708,21.0,102.0
4.712,21.5,102.0
4.704,21.3,102.0
4.708,21.2,98.0
4.712,21.2,98.0
4.708,21.2,102.0
4.712,21.3,102.0
4.704,21.0,98.0
4.708,21.6,102.0
4.708,21.4,102.0
4.708,21.1,98.0
4.712,21.3,102.0
4.712,21.4,102.0
4.708,21.2,102.0
4.708,21.4,102.0
4.704,21.3,102.0
4.708,21.2,98.0
4.708,21.0,98.0
4.708,21.3,102.0
4.712,21.1,98.0
4.708,21.3,102.0
4.708,21.2,102.0
4.708,21.8,102.0
4.704,20.8,98.0
4.712,21.1,98.0
4.708,21.1,98.0
4.712,21.4,98.0
4.712,21.3,102.0
4.704,21.4,102.0
4.712,21.3,102.0
4.708,21.5,102.0
4.708,21.1,98.0
4.708,21.0,102.0
4.708,21.1,98.0
4.708,21.1,102.0
4.712,21.1,98.0
4.708,21.2,98.0
4.708,21.2,102.0
4.708,21.1,98.0
4.712,21.3,102.0
4.712,21.3,102.0
4.704,21.3,102.0
4.708,21.5,102.0
4.712,21.4,102.0
4.704,21.4,102.0
4.708,21.1,102.0
4.708,21.4,102.0
4.708,21.4,102.0
4.704,21.3,102.0
4.708,21.6,102.0
4.708,21.4,102.0
4.712,21.1,98.0
4.704,21.3,102.0
4.712,21.2,98.0
4.712,21.3,102.0
4.712,21.0,98.0
4.708,21.1,98.0
4.704,21.2,98.0
4.712,21.4,102.0
4.708,21.3,102.0
4.708,21.4,102.0
4.708,21.2,98.0
4.704,21.3,102.0
4.708,21.1,98.0
4.712,21.4,102.0
4.708,21.4,98.0
4.708,21.2,98.0
4.712,21.4,102.0
4.708,21.3,98.0
4.712,21.2,98.0
4.704,21.3,102.0
4.708,21.2,102.0
4.708,21.5,102.0
4.712,21.3,98.0
4.712,21.3,102.0
4.704,21.3,102.0
4.708,21.0,102.0
4.712,21.4,102.0
4.708,21.5,102.0
4.708,21.4,102.0
4.708,21.2,98.0
4.708,21.4,102.0
4.708,21.2,98.0
4.708,21.4,102.0
4.708,21.2,102.0
4.712,21.3,102.0
4.712,21.0,98.0
4.712,21.6,102.0
4.708,21.5,102.0
4.708,21.4,102.0
4.708,21.3,102.0
4.708,21.2,98.0
4.708,21.4,98.0
4.708,21.0,98.0
4.712,21.1,98.0
4.712,21.2,98.0
4.708,21.5,102.0
4.708,21.1,102.0
4.708,21.3,102.0
4.704,21.4,102.0
4.708,21.2,98.0
4.708,21.2,98.0
4.708,21.0,98.0
4.708,21.5,102.0
4.704,21.1,98.0
4.712,21.4,98.0
4.708,21.1,98.0
4.708,21.4,102.0
4.712,21.4,102.0
4.704,21.1,98.0
4.708,21.3,98.0
4.712,21.2,98.0
4.704,21.4,102.0
4.712,21.2,98.0
4.708,21.1,98.0
4.708,21.1,102.0
4.712,21.2,98.0
4.712,21.5,102.0
4.712,21.3,102.0
4.708,21.4,102.0
4.708,21.4,102.0
4.712,21.3,102.0
4.708,21.1,98.0
4.708,21.1,98.0
4.712,20.8,98.0
4.708,21.1,98.0
4.712,20.9,102.0
4.708,21.5,102.0
4.712,21.1,102.0
4.708,21.4,102.0
4.708,21.3,102.0
4.708,21.5,102.0
4.708,20.9,98.0
4.712,21.3,98.0
4.708,21.0,98.0
4.708,21.3,102.0
4.712,21.4,102.0
4.712,21.5,102.0
4.704,21.2,98.0
4.712,21.5,102.0
4.712,21.1,98.0
4.708,21.1,98.0
4.708,21.1,98.0
4.708,21.4,102.0
4.708,21.1,102.0
4.712,21.1,98.0
4.708,21.0,102.0
4.708,20.9,98.0
4.704,21.3,102.0
4.708,21.2,102.0
4.708,21.5,102.0
4.708,21.3,102.0
4.712,21.1,98.0
4.708,21.3,102.0
4.712,21.0,98.0
4.708,21.2,98.0
4.704,21.2,98.0
4.712,21.4,98.0
4.712,21.1,98.0
4.708,21.5,102.0
4.708,21.2,98.0
4.708,21.5,102.0
4.712,20.8,98.0
4.712,21.5,102.0
4.708,21.2,98.0
4.708,21.4,98.0
4.708,21.3,102.0
4.708,21.2,102.0
4.708,21.1,98.0
4.704,21.2,98.0
4.708,21.5,102.0
4.708,21.1,98.0
4.708,21.2,102.0
4.708,21.2,98.0
4.712,21.2,98.0
4.712,21.1,98.0
4.712,21.2,98.0
4.704,21.4,102.0
4.708,21.4,102.0
4.708,21.6,102.0
4.708,21.5,102.0
4.708,21.7,102.0
4.704,21.5,102.0
4.708,21.1,98.0
4.712,21.2,98.0
4.708,21.3,102.0
4.708,21.0,102.0
4.708,21.2,98.0
4.712,21.3,102.0
4.712,21.6,102.0
4.708,21.5,102.0
4.708,21.5,98.0
4.708,21.3,102.0
4.708,21.0,102.0
4.708,21.1,98.0
4.704,21.3,102.0
4.708,21.2,102.0
4.708,21.4,102.0
4.704,21.4,102.0
4.712,21.3,102.0
4.712,21.4,102.0
4.712,21.6,98.0
4.708,21.2,98.0
4.704,21.2,98.0
4.708,21.2,98.0
4.712,21.2,98.0
4.708,21.1,102.0
4.708,21.2,98.0
4.704,21.2,98.0
4.708,21.3,102.0
4.708,21.2,98.0
4.708,21.4,102.0
4.708,21.2,98.0
4.708,21.1,98.0
4.708,21.2,98.0
4.712,21.2,98.0
4.704,21.3,102.0
4.708,21.2,102.0
4.708,21.3,102.0
4.708,21.5,102.0
4.708,21.4,102.0
4.708,21.4,102.0
4.708,21.0,98.0
4.708,21.2,98.0
4.708,21.2,98.0
4.708,21.2,98.0
4.712,21.4,102.0
4.708,21.5,102.0
4.712,21.4,102.0
4.704,21.2,98.0
4.712,21.4,102.0
4.708,20.9,98.0
4.708,21.1,98.0
4.712,21.3,102.0
4.708,21.3,102.0
4.712,20.8,98.0
4.712,21.4,102.0
4.708,21.3,102.0
4.712,21.8,102.0
4.708,21.6,102.0
4.708,21.1,102.0
4.712,21.4,102.0
4.704,20.8,98.0
4.708,21.0,102.0
4.712,21.3,102.0
4.708,21.4,98.0
4.712,21.5,102.0
4.712,21.3,102.0
4.708,21.6,102.0
4.712,21.4,102.0
4.704,21.7,102.0
4.708,20.9,102.0
4.708,21.1,98.0
4.708,21.3,98.0
4.712,21.1,98.0
4.704,21.6,102.0
4.712,21.6,98.0
4.708,21.3,102.0
4.708,21.5,102.0
4.708,21.0,98.0
4.708,21.1,98.0
4.708,21.0,98.0
4.712,21.1,98.0
4.708,21.2,98.0
4.716,21.3,102.0
4.708,21.3,102.0
4.708,21.1,102.0
4.708,21.5,102.0
4.704,21.3,102.0
