Bus Voltage (V),Current (mA),Power (mW)
4.628,18.1,82.0
4.62,18.0,82.0
4.624,18.0,86.0
4.624,18.1,82.0
4.62,18.3,86.0
4.624,17.9,82.0
4.628,17.6,82.0
4.624,17.8,82.0
4.62,17.9,82.0
4.628,18.2,82.0
4.632,18.2,86.0
4.628,18.2,86.0
4.628,18.1,82.0
4.628,17.8,82.0
4.628,18.0,82.0
4.62,17.9,82.0
4.632,17.7,82.0
4.632,17.9,82.0
4.632,17.7,82.0
4.624,18.0,82.0
4.628,18.2,82.0
4.632,18.1,82.0
4.632,18.1,86.0
4.632,17.9,86.0
4.636,17.9,86.0
4.632,18.2,86.0
4.628,18.0,82.0
4.632,18.1,82.0
4.632,18.3,86.0
4.632,18.1,82.0
4.628,17.9,82.0
4.628,18.0,82.0
4.632,18.5,86.0
4.624,18.0,82.0
4.632,17.8,82.0
4.632,17.8,82.0
4.632,17.9,82.0
4.628,17.9,82.0
4.632,18.0,86.0
4.632,18.2,86.0
4.632,17.9,82.0
4.62,21.2,98.0
4.624,21.2,98.0
4.624,21.3,98.0
4.612,21.2,98.0
4.624,20.9,96.0
4.624,20.8,96.0
4.624,21.3,98.0
4.616,21.2,98.0
4.62,21.2,98.0
4.62,21.3,98.0
4.62,21.1,98.0
4.62,21.1,98.0
4.62,21.0,98.0
4.624,21.0,98.0
4.62,20.9,96.0
4.616,20.9,98.0
4.624,21.3,98.0
4.62,21.4,98.0
4.612,21.2,98.0
4.62,21.2,98.0
4.62,21.3,98.0
4.62,21.2,98.0
4.616,21.2,98.0
4.624,20.4,98.0
4.624,20.8,96.0
4.624,21.3,98.0
4.62,21.3,98.0
4.624,21.2,98.0
4.624,21.3,98.0
4.624,21.2,98.0
4.624,21.3,98.0
4.628,20.9,96.0
4.624,20.9,96.0
4.62,21.2,98.0
4.624,20.9,98.0
4.624,21.1,98.0
4.62,20.9,96.0
4.616,21.3,98.0
4.62,21.2,98.0
4.62,21.4,98.0
4.624,21.3,98.0
4.624,21.0,98.0
4.624,20.9,98.0
4.624,21.1,98.0
4.612,21.1,98.0
4.624,21.3,98.0
4.624,21.0,98.0
4.62,21.0,98.0
4.616,21.1,98.0
4.62,21.1,98.0
4.624,20.9,96.0
4.62,21.3,98.0
4.624,21.0,98.0
4.624,20.9,96.0
4.624,21.5,98.0
4.624,21.4,98.0
4.62,21.3,98.0
4.624,21.2,98.0
4.624,21.2,98.0
4.62,21.0,98.0
4.624,20.9,98.0
4.624,21.1,98.0
4.62,21.1,98.0
4.616,20.8,96.0
4.62,21.4,98.0
4.62,21.4,98.0
4.616,21.2,98.0
4.612,21.2,98.0
4.616,21.2,98.0
4.62,21.4,98.0
4.616,21.1,98.0
4.612,20.7,96.0
4.616,21.0,96.0
4.616,21.3,98.0
4.612,21.2,98.0
4.612,21.0,98.0
4.612,21.2,96.0
4.612,21.4,98.0
4.608,21.2,98.0
4.616,21.2,98.0
4.616,21.0,98.0
4.616,20.9,96.0
4.608,21.4,98.0
4.612,21.1,98.0
4.616,21.0,98.0
4.612,21.0,96.0
4.604,21.3,98.0
4.612,21.2,98.0
4.616,21.3,98.0
4.612,21.2,98.0
4.608,21.0,96.0
4.612,20.7,98.0
4.612,20.9,96.0
4.612,21.1,98.0
4.604,21.5,98.0
4.604,21.3,98.0
4.608,21.5,98.0
4.604,21.3,98.0
4.6,21.2,98.0
4.608,20.8,98.0
4.608,21.2,96.0
4.608,21.0,96.0
4.6,21.2,98.0
4.608,21.0,98.0
4.608,21.1,98.0
4.604,21.3,98.0
4.6,21.4,98.0
4.604,21.2,98.0
4.604,21.0,96.0
4.608,21.0,96.0
4.596,21.3,98.0
4.6,21.1,98.0
4.6,21.1,96.0
4.604,21.6,98.0
4.596,21.5,98.0
4.596,21.0,96.0
4.6,21.3,98.0
4.604,21.0,96.0
4.604,21.0,96.0
4.6,20.7,96.0
4.604,21.0,98.0
4.604,21.5,98.0
4.6,21.4,98.0
4.592,21.2,98.0
4.6,21.1,98.0
4.596,21.3,98.0
4.596,21.4,98.0
4.588,21.4,98.0
4.596,20.8,96.0
4.596,21.0,96.0
4.596,21.3,98.0
4.596,21.2,98.0
4.592,21.0,98.0
4.596,21.3,98.0
4.596,21.4,98.0
4.592,21.3,98.0
4.588,21.4,98.0
4.596,21.0,98.0
4.596,20.9,96.0
4.592,21.1,96.0
4.58,21.0,96.0
4.584,21.2,98.0
4.588,21.5,98.0
4.584,21.5,98.0
4.584,21.3,98.0
4.576,21.3,98.0
4.584,21.3,98.0
4.588,20.9,98.0
4.584,21.0,96.0
4.584,21.3,98.0
4.576,21.2,98.0
4.584,21.0,98.0
4.584,21.2,98.0
4.584,21.6,98.0
4.572,21.2,98.0
4.576,21.0,98.0
4.58,21.1,98.0
4.584,21.2,98.0
4.584,20.9,96.0
4.572,21.2,98.0
4.58,21.4,98.0
4.584,21.1,98.0
4.576,21.3,98.0
4.576,21.6,98.0
4.564,21.7,98.0
4.572,21.3,98.0
4.576,21.1,96.0
4.572,21.3,98.0
