Bus Voltage (V),Current (mA),Power (mW)
4.72,17.8,86.0
4.72,17.9,86.0
4.716,18.0,86.0
4.72,18.1,86.0
4.72,18.3,86.0
4.72,17.6,86.0
4.72,18.0,86.0
4.72,18.0,86.0
4.72,17.8,86.0
4.72,17.7,82.0
4.72,17.6,86.0
4.72,18.1,86.0
4.716,18.0,86.0
4.72,17.9,86.0
4.724,18.5,88.0
4.72,18.1,86.0
4.724,18.1,86.0
4.716,17.9,86.0
4.724,17.9,82.0
4.72,17.7,82.0
4.72,17.5,82.0
4.724,17.6,82.0
4.716,17.5,82.0
4.72,18.2,86.0
4.72,17.8,86.0
4.72,18.0,86.0
4.72,17.7,82.0
4.716,17.9,86.0
4.724,17.8,86.0
4.72,17.9,86.0
4.72,17.7,82.0
4.724,17.5,82.0
4.72,17.7,82.0
4.724,18.1,86.0
4.72,18.3,86.0
4.72,17.7,82.0
4.724,18.0,82.0
4.72,17.8,86.0
4.72,18.1,86.0
4.724,17.5,82.0
4.72,17.8,86.0
4.724,17.8,82.0
4.72,17.8,86.0
4.716,22.0,104.0
4.716,22.3,104.0
4.708,21.5,102.0
4.716,21.8,104.0
4.716,21.9,102.0
4.712,22.0,102.0
4.716,21.6,102.0
4.716,21.6,102.0
4.716,21.8,104.0
4.716,21.9,102.0
4.712,22.2,104.0
4.716,21.6,104.0
4.716,21.9,102.0
4.716,22.4,104.0
4.716,21.5,102.0
4.712,21.8,102.0
4.716,22.2,102.0
4.716,21.8,102.0
4.716,21.9,102.0
4.716,22.0,104.0
4.712,22.1,104.0
4.716,22.1,104.0
4.716,22.2,104.0
4.712,21.5,102.0
4.72,22.2,102.0
4.716,22.0,104.0
4.716,22.0,102.0
4.716,21.6,102.0
4.712,21.8,102.0
4.72,22.0,104.0
4.716,22.0,104.0
4.712,21.6,104.0
4.716,22.4,104.0
4.708,22.1,104.0
4.712,21.6,104.0
4.716,21.5,102.0
4.716,22.0,104.0
4.716,21.8,102.0
4.716,21.9,102.0
4.716,22.2,102.0
4.716,22.2,104.0
4.712,22.3,104.0
4.72,22.2,104.0
4.716,22.1,104.0
4.716,21.5,104.0
4.716,21.9,102.0
4.712,21.9,102.0
4.72,21.7,102.0
4.716,21.9,102.0
4.712,22.2,104.0
4.72,21.7,104.0
4.716,22.0,104.0
