Bus Voltage (V),Current (mA),Power (mW)
4.632,47.5,220.0
4.636,47.5,220.0
4.636,47.1,220.0
4.628,47.2,220.0
4.636,47.3,220.0
4.64,47.7,222.0
4.636,47.8,222.0
4.636,47.3,220.0
4.636,47.3,220.0
4.636,47.5,220.0
4.636,48.5,222.0
4.64,48.1,222.0
4.64,47.6,220.0
4.64,47.5,220.0
4.644,47.1,220.0
4.64,46.9,216.0
4.64,47.7,220.0
4.64,48.6,226.0
4.64,48.1,222.0
4.64,47.8,220.0
4.64,47.4,220.0
4.64,46.9,216.0
4.64,47.3,220.0
4.644,47.6,220.0
4.64,48.6,226.0
4.64,48.0,226.0
4.64,47.9,222.0
4.644,46.8,216.0
4.644,47.6,220.0
4.644,47.4,220.0
4.648,47.9,222.0
4.644,47.9,222.0
4.644,48.4,226.0
4.644,47.8,222.0
4.644,47.3,220.0
4.648,47.2,220.0
4.648,47.9,222.0
4.644,47.9,222.0
4.648,47.7,222.0
4.64,48.5,226.0
4.64,48.8,226.0
4.584,65.1,302.0
4.644,49.1,230.0
4.644,48.9,230.0
4.636,48.8,226.0
4.64,48.6,226.0
4.644,48.1,298.0
4.644,49.2,230.0
4.64,49.5,230.0
4.588,54.3,252.0
4.644,48.4,226.0
4.644,48.8,226.0
4.628,48.0,222.0
4.644,48.5,226.0
4.616,65.0,298.0
4.644,49.8,232.0
4.64,49.8,230.0
4.592,65.9,304.0
4.64,48.2,222.0
4.644,48.3,222.0
4.616,48.6,226.0
4.644,49.2,230.0
4.64,49.2,302.0
4.644,49.6,230.0
4.644,48.3,222.0
4.6,65.4,278.0
4.64,48.4,226.0
4.644,49.1,230.0
4.6,49.2,230.0
4.648,49.1,230.0
4.64,54.1,250.0
4.644,49.1,226.0
4.64,49.0,226.0
4.612,65.9,302.0
4.644,49.2,226.0
4.644,48.8,226.0
4.588,48.8,226.0
4.644,48.5,226.0
4.648,55.9,256.0
4.644,49.2,230.0
4.644,49.4,230.0
4.592,65.8,302.0
4.64,48.6,226.0
4.644,48.3,226.0
4.64,48.5,226.0
4.648,49.1,230.0
4.644,66.2,304.0
4.644,49.4,230.0
4.644,48.8,226.0
4.592,65.1,302.0
4.648,48.2,222.0
4.648,48.4,226.0
4.588,49.4,230.0
4.644,49.2,232.0
4.644,62.8,288.0
4.64,48.8,226.0
4.644,48.0,226.0
4.592,65.2,298.0
4.648,49.3,230.0
4.648,48.9,230.0
4.624,48.8,226.0
4.644,49.4,230.0
