Bus Voltage (V),Current (mA),Power (mW)
4.796,16.7,78.0
4.792,16.5,78.0
4.8,16.7,82.0
4.792,17.8,86.0
4.8,16.9,82.0
4.792,17.9,86.0
4.8,16.7,78.0
4.796,16.8,82.0
4.796,16.5,78.0
4.796,16.9,82.0
4.792,16.7,78.0
4.796,17.9,86.0
4.792,16.9,82.0
4.8,17.8,86.0
4.792,17.3,82.0
4.8,16.7,82.0
4.796,16.9,82.0
4.8,16.6,78.0
4.796,16.8,82.0
4.8,17.7,86.0
4.792,16.9,82.0
4.788,17.7,86.0
4.8,16.6,82.0
4.792,16.5,78.0
4.8,16.8,82.0
4.788,16.7,78.0
4.8,17.3,82.0
4.792,18.2,86.0
4.8,17.0,82.0
4.796,17.7,86.0
4.804,16.8,82.0
4.796,16.8,82.0
4.796,16.8,82.0
4.796,16.7,78.0
4.796,16.8,82.0
4.792,18.0,82.0
4.792,17.0,82.0
4.796,18.0,86.0
4.788,17.0,82.0
4.796,16.7,78.0
4.792,16.8,82.0
4.796,16.7,82.0
4.796,16.9,82.0
4.8,17.3,82.0
4.796,16.9,82.0
4.8,17.8,86.0
4.796,16.8,82.0
4.796,16.6,82.0
4.8,16.7,82.0
4.792,16.4,78.0
4.792,16.9,82.0
4.788,17.6,86.0
4.792,17.0,82.0
4.788,18.0,82.0
4.8,16.6,78.0
4.796,16.9,82.0
4.796,16.9,82.0
4.792,16.8,82.0
4.796,17.5,86.0
4.792,17.3,82.0
4.8,17.2,86.0
4.788,18.0,82.0
4.796,16.6,78.0
4.796,16.8,82.0
4.792,16.8,82.0
4.796,16.8,82.0
4.796,17.2,86.0
4.796,17.4,82.0
4.796,17.2,82.0
4.796,17.9,86.0
4.796,16.6,78.0
4.8,16.8,82.0
4.792,16.8,82.0
4.8,16.8,82.0
4.796,17.1,86.0
4.792,17.5,86.0
4.78,24.1,114.0
4.72,51.8,246.0
4.736,47.2,222.0
4.728,46.3,220.0
4.732,46.6,222.0
4.732,47.1,222.0
4.732,46.9,222.0
4.732,47.5,226.0
4.736,48.0,226.0
4.732,46.9,222.0
4.732,46.8,222.0
4.732,47.3,222.0
4.732,46.3,220.0
4.736,46.7,220.0
4.732,47.7,226.0
4.728,47.0,222.0
4.732,47.1,226.0
4.732,48.1,226.0
4.732,46.6,220.0
4.736,46.7,222.0
4.732,47.5,226.0
4.736,46.6,220.0
4.732,47.7,226.0
4.736,47.9,226.0
4.728,47.1,226.0
4.732,47.4,222.0
4.736,46.9,222.0
4.732,46.5,220.0
4.736,47.0,222.0
4.732,47.1,222.0
4.732,46.9,226.0
4.732,48.0,226.0
4.736,47.4,226.0
4.728,47.3,222.0
4.736,46.9,222.0
4.732,47.1,222.0
4.736,46.5,220.0
4.732,47.7,222.0
4.736,47.6,226.0
4.732,47.2,222.0
4.736,48.1,226.0
4.732,47.5,226.0
4.732,46.5,220.0
4.736,47.3,222.0
4.732,47.2,222.0
4.74,46.4,220.0
4.732,48.0,226.0
4.74,47.5,226.0
4.728,47.5,226.0
4.736,48.2,226.0
4.728,47.3,222.0
4.696,74.0,348.0
4.7,74.4,348.0
4.696,67.6,318.0
4.704,71.6,338.0
4.684,67.2,350.0
4.692,74.8,350.0
4.7,73.8,348.0
4.7,67.5,318.0
4.728,47.9,226.0
4.736,47.7,226.0
4.732,48.8,232.0
4.736,49.0,232.0
4.692,74.9,266.0
4.7,72.2,338.0
4.688,67.8,318.0
4.692,74.3,348.0
4.692,73.7,344.0
4.688,74.3,312.0
4.7,70.2,348.0
4.688,68.8,324.0
4.692,74.8,350.0
4.716,73.7,344.0
4.736,58.7,276.0
4.728,48.1,230.0
4.736,48.2,226.0
4.688,57.2,230.0
4.692,74.0,348.0
4.696,75.2,354.0
4.696,70.5,330.0
4.704,69.9,328.0
4.688,64.9,348.0
4.692,74.4,340.0
4.704,74.1,348.0
4.692,66.4,312.0
4.688,73.3,344.0
4.732,49.7,236.0
4.732,48.4,230.0
4.736,49.4,236.0
4.728,48.3,230.0
4.7,71.5,334.0
4.692,66.9,314.0
4.688,74.1,348.0
4.692,73.9,348.0
4.696,75.2,318.0
4.7,73.0,344.0
4.68,67.8,318.0
4.692,75.0,354.0
4.7,73.3,344.0
4.7,64.3,302.0
4.728,48.7,230.0
4.736,48.0,230.0
4.728,49.1,232.0
4.736,49.1,232.0
4.692,74.9,350.0
4.696,73.2,344.0
4.704,66.3,312.0
4.696,63.9,350.0
4.688,74.2,344.0
4.692,75.2,354.0
4.692,69.9,328.0
4.696,70.1,330.0
4.692,75.7,354.0
4.732,48.0,344.0
4.736,48.2,252.0
4.728,48.7,230.0
4.732,47.7,226.0
4.688,60.7,288.0
4.692,75.5,354.0
4.692,74.1,348.0
4.7,74.9,324.0
4.704,73.8,334.0
4.688,64.7,304.0
4.692,73.8,348.0
4.688,74.2,348.0
4.7,66.1,312.0
4.724,73.0,348.0
4.736,48.7,232.0
4.728,49.0,232.0
4.74,48.5,230.0
4.732,49.0,232.0
4.696,71.3,334.0
4.704,66.8,314.0
4.7,65.1,350.0
4.688,74.5,348.0
4.696,75.3,354.0
4.696,72.1,338.0
4.7,69.8,328.0
4.692,74.2,348.0
4.688,74.3,348.0
4.704,73.9,298.0
4.732,48.9,232.0
4.732,49.3,232.0
4.732,48.2,230.0
4.696,49.6,236.0
4.688,74.5,350.0
4.696,74.2,314.0
4.7,73.7,334.0
4.688,66.9,314.0
4.692,74.9,350.0
4.692,75.0,350.0
4.7,65.3,308.0
4.688,71.1,350.0
4.696,68.9,350.0
4.728,48.3,230.0
4.736,47.8,226.0
4.728,48.8,230.0
4.736,48.8,230.0
4.704,67.9,322.0
4.696,66.4,354.0
4.688,74.4,350.0
4.696,74.2,348.0
4.7,71.8,338.0
4.708,67.7,318.0
4.692,73.9,348.0
4.688,72.5,350.0
4.696,76.1,314.0
4.728,71.9,338.0
4.732,50.1,236.0
4.728,48.2,230.0
4.736,48.0,226.0
4.732,48.6,230.0
4.696,74.7,328.0
4.704,73.6,324.0
4.692,66.5,312.0
4.692,74.6,350.0
4.696,75.3,354.0
4.692,69.6,328.0
4.696,74.0,334.0
4.692,65.5,348.0
4.688,74.5,350.0
4.716,74.5,350.0
4.732,48.7,230.0
4.736,49.1,232.0
4.716,49.3,232.0
4.696,54.1,226.0
4.688,71.3,334.0
4.7,74.8,350.0
4.688,73.6,344.0
4.708,66.7,314.0
4.692,75.6,354.0
4.684,72.3,348.0
4.7,75.8,308.0
4.696,71.2,334.0
4.696,69.7,328.0
4.728,48.8,232.0
4.732,48.6,230.0
4.732,48.5,230.0
4.732,50.1,232.0
4.7,74.4,350.0
4.696,65.8,308.0
4.696,74.1,348.0
4.696,74.8,350.0
4.692,74.4,328.0
4.704,73.6,330.0
4.696,65.8,308.0
4.684,75.0,350.0
4.692,74.6,350.0
4.728,63.0,294.0
4.736,48.6,230.0
4.728,48.8,230.0
4.732,48.0,230.0
4.732,48.3,230.0
4.7,74.8,350.0
4.692,74.3,348.0
4.704,66.8,314.0
4.692,69.2,358.0
4.688,71.8,350.0
4.692,74.3,348.0
4.704,72.7,340.0
4.708,67.4,318.0
4.688,74.5,350.0
4.732,74.6,350.0
4.732,48.2,230.0
4.732,49.3,232.0
4.72,49.1,232.0
4.696,53.4,252.0
4.704,70.4,330.0
4.696,74.7,350.0
4.692,74.5,348.0
4.708,74.2,318.0
4.692,65.5,308.0
4.684,74.4,350.0
4.688,74.5,350.0
4.688,70.0,328.0
4.724,73.4,324.0
4.728,48.4,230.0
4.732,48.9,232.0
4.732,49.4,232.0
4.692,49.0,232.0
4.688,74.9,350.0
4.7,64.7,304.0
4.696,68.8,348.0
4.692,69.9,350.0
4.692,74.0,348.0
4.7,73.8,348.0
4.7,65.8,308.0
4.692,74.5,350.0
4.688,71.8,354.0
4.728,49.1,298.0
4.732,47.9,226.0
4.732,48.4,230.0
4.732,48.8,232.0
4.704,48.0,226.0
4.692,65.7,354.0
4.684,75.0,350.0
4.708,74.2,348.0
4.688,66.7,314.0
4.688,73.2,344.0
4.684,74.3,348.0
4.692,71.5,334.0
4.704,74.0,324.0
4.688,65.5,354.0
4.732,48.7,230.0
4.728,49.8,236.0
4.732,48.2,230.0
4.688,48.5,230.0
4.704,74.8,288.0
4.696,69.0,344.0
4.692,69.6,328.0
4.688,75.8,358.0
4.704,74.0,348.0
4.7,66.2,312.0
4.696,74.8,350.0
4.692,71.8,348.0
4.688,74.3,314.0
4.732,74.0,348.0
