Bus Voltage (V),Current (mA),Power (mW)
0.884,-0.3,0.0
0.884,-0.4,0.0
0.876,-0.3,0.0
0.844,0.0,0.0
0.84,-0.5,0.0
0.872,-0.4,0.0
0.88,-0.5,0.0
0.884,-0.5,0.0
0.888,-0.5,0.0
0.028,-0.3,0.0
4.504,51.7,236.0
4.64,47.7,222.0
4.664,47.2,220.0
4.62,47.2,216.0
4.68,48.0,226.0
4.676,47.8,222.0
4.672,47.4,222.0
4.672,46.8,220.0
4.672,47.5,222.0
4.664,46.9,220.0
4.668,47.4,222.0
4.668,46.6,220.0
4.672,47.3,220.0
4.668,48.0,222.0
4.664,48.2,226.0
4.664,47.6,220.0
4.668,47.4,222.0
4.668,47.8,222.0
4.672,47.5,222.0
4.668,47.1,220.0
4.668,47.4,222.0
4.672,48.1,226.0
4.664,48.4,226.0
4.668,47.2,222.0
4.672,47.4,220.0
4.672,47.8,222.0
4.672,47.6,222.0
4.668,47.2,222.0
4.668,47.4,222.0
4.668,48.5,226.0
4.668,48.1,226.0
4.668,47.4,222.0
4.668,47.1,220.0
4.672,47.3,220.0
4.676,47.9,222.0
4.668,47.5,222.0
4.668,47.4,220.0
4.668,48.2,226.0
4.672,47.9,222.0
4.672,47.5,222.0
4.676,46.9,220.0
4.676,47.3,220.0
4.676,47.9,222.0
4.672,47.8,222.0
4.672,47.5,226.0
4.672,48.1,226.0
4.676,47.9,222.0
4.672,47.9,222.0
4.672,47.1,222.0
4.672,47.3,220.0
4.624,48.6,226.0
4.668,49.3,230.0
4.668,49.1,230.0
4.672,48.5,226.0
4.672,48.4,226.0
4.672,56.1,262.0
4.668,48.3,226.0
4.672,48.0,222.0
4.624,48.7,226.0
4.672,49.6,232.0
4.668,49.3,258.0
4.668,48.5,226.0
4.668,48.6,226.0
4.672,52.6,246.0
4.672,48.7,230.0
4.676,47.9,222.0
4.632,48.4,226.0
4.672,49.5,232.0
4.672,49.2,272.0
4.668,48.3,226.0
4.672,48.4,226.0
4.676,51.1,240.0
4.676,48.9,230.0
4.672,48.5,226.0
4.672,48.4,226.0
4.676,48.9,230.0
4.672,49.2,286.0
4.672,48.2,226.0
4.672,47.8,222.0
4.672,50.5,236.0
4.672,48.9,226.0
4.672,48.5,226.0
4.648,48.4,226.0
4.672,48.9,230.0
4.672,48.9,302.0
4.676,48.5,226.0
4.672,48.2,226.0
4.66,48.6,226.0
4.676,49.1,230.0
4.672,49.0,230.0
4.656,48.9,230.0
4.672,48.3,226.0
4.672,48.8,294.0
4.672,48.7,226.0
4.672,48.4,226.0
4.652,48.4,226.0
4.672,48.8,226.0
4.676,49.2,230.0
4.672,49.2,230.0
4.672,48.3,226.0
4.672,48.5,286.0
4.676,48.9,230.0
4.676,48.8,230.0
4.64,48.2,226.0
4.672,48.5,230.0
4.672,49.7,232.0
4.672,49.2,230.0
4.668,48.0,222.0
4.676,49.5,278.0
4.676,49.3,230.0
4.672,48.7,226.0
4.636,48.5,226.0
4.672,48.8,230.0
4.672,49.5,232.0
4.676,48.9,230.0
4.676,48.5,226.0
4.672,51.8,266.0
4.676,48.9,230.0
4.676,48.6,226.0
4.628,48.8,230.0
4.672,48.8,230.0
4.672,48.9,230.0
4.672,48.9,230.0
4.676,48.5,226.0
4.672,56.9,240.0
4.672,48.3,226.0
4.672,49.4,230.0
4.628,48.9,230.0
4.672,48.8,230.0
4.676,48.5,226.0
4.68,49.4,230.0
4.68,49.0,230.0
4.676,60.7,230.0
4.676,48.3,226.0
4.676,48.9,230.0
4.628,49.7,232.0
4.672,49.4,230.0
4.672,48.4,226.0
4.676,48.9,230.0
4.676,49.0,230.0
4.672,64.4,230.0
4.672,48.3,226.0
4.672,49.0,230.0
4.64,49.6,232.0
4.672,48.2,232.0
4.676,48.1,226.0
4.672,48.5,226.0
4.676,49.2,230.0
4.664,65.6,230.0
4.672,48.3,230.0
4.672,48.9,230.0
4.648,49.2,230.0
4.676,48.8,230.0
4.668,48.7,302.0
4.672,48.0,222.0
4.676,48.8,230.0
4.656,65.5,230.0
4.676,48.9,230.0
4.672,49.0,230.0
4.66,48.7,226.0
4.676,49.3,230.0
4.676,48.5,302.0
4.676,48.2,226.0
4.676,48.6,226.0
4.656,64.8,230.0
4.676,49.0,230.0
4.672,48.5,226.0
4.668,48.1,226.0
4.676,48.9,230.0
4.672,48.8,292.0
4.676,48.3,226.0
4.676,48.4,226.0
4.628,49.3,230.0
4.672,49.7,232.0
4.672,48.8,230.0
4.672,48.6,226.0
4.676,48.6,226.0
4.676,51.5,268.0
4.676,48.9,230.0
4.672,48.5,226.0
4.628,49.2,230.0
4.672,49.5,232.0
4.672,49.1,230.0
4.676,48.0,222.0
4.672,48.5,226.0
4.68,55.4,252.0
4.676,49.1,230.0
4.676,48.6,226.0
4.632,49.0,230.0
4.676,49.4,230.0
4.676,49.1,230.0
4.672,48.8,230.0
4.672,48.4,226.0
4.672,63.9,236.0
4.68,49.2,230.0
4.676,49.3,230.0
4.636,48.6,226.0
4.672,48.9,226.0
4.676,49.0,230.0
4.676,48.8,230.0
4.676,47.8,222.0
4.676,58.3,230.0
4.676,49.4,230.0
4.672,49.2,230.0
4.644,48.3,226.0
4.676,48.8,226.0
4.676,49.2,230.0
4.676,49.0,230.0
4.672,48.3,226.0
4.672,63.3,230.0
4.676,49.4,230.0
4.672,49.4,230.0
4.656,48.8,230.0
4.676,48.6,226.0
4.676,48.5,226.0
4.68,48.9,230.0
4.676,48.8,230.0
4.664,65.4,230.0
4.676,49.1,230.0
4.676,49.2,230.0
4.664,48.7,226.0
4.676,48.5,226.0
4.68,48.3,226.0
4.676,49.2,230.0
4.676,49.2,230.0
4.656,65.9,230.0
4.672,48.9,226.0
4.676,49.0,230.0
4.672,49.1,230.0
4.676,48.4,226.0
4.672,48.1,298.0
4.676,48.6,226.0
4.672,49.5,232.0
4.648,64.2,230.0
4.672,48.4,226.0
4.672,48.4,226.0
4.676,49.1,230.0
4.676,48.6,230.0
4.676,53.0,256.0
4.676,48.5,226.0
4.672,49.7,232.0
4.628,55.2,230.0
4.672,48.3,226.0
4.676,48.1,226.0
4.672,49.0,230.0
4.672,49.0,230.0
4.672,52.3,242.0
4.676,48.8,230.0
4.676,49.3,230.0
4.628,51.3,230.0
4.676,48.8,230.0
4.676,48.6,226.0
4.676,48.7,226.0
4.68,48.8,230.0
4.676,61.2,286.0
4.672,48.7,226.0
4.672,49.0,230.0
4.636,51.0,230.0
4.68,48.9,230.0
4.672,47.7,222.0
4.676,48.3,226.0
4.68,49.1,230.0
4.676,63.9,298.0
4.676,48.8,230.0
4.676,48.4,226.0
4.64,49.7,230.0
4.676,48.8,230.0
4.676,48.2,226.0
4.676,48.3,226.0
4.676,49.0,230.0
4.66,66.0,308.0
4.676,49.4,230.0
4.676,48.4,226.0
4.656,48.6,226.0
4.676,49.1,230.0
4.676,48.8,230.0
4.676,48.6,226.0
4.672,49.0,230.0
4.656,66.5,312.0
4.676,49.1,230.0
4.672,48.4,226.0
4.676,48.5,226.0
4.676,49.1,230.0
4.676,49.1,230.0
4.676,48.7,226.0
4.676,49.0,230.0
4.644,64.9,304.0
4.676,49.2,230.0
4.676,48.8,230.0
4.676,48.5,226.0
4.676,48.6,230.0
4.672,49.4,230.0
4.676,49.0,230.0
4.676,48.9,230.0
4.632,60.6,230.0
4.676,49.2,230.0
4.676,49.0,230.0
4.676,48.4,226.0
4.676,48.9,230.0
4.68,49.3,230.0
4.672,49.7,232.0
4.672,49.2,230.0
4.628,55.9,262.0
4.68,49.0,230.0
4.68,49.2,230.0
4.672,48.7,230.0
4.676,48.3,226.0
4.676,56.3,258.0
