Bus Voltage (V),Current (mA),Power (mW)
4.656,73.8,348.0
4.64,74.9,348.0
4.652,70.2,328.0
4.652,75.5,350.0
4.648,73.2,340.0
4.644,74.4,348.0
4.648,74.2,350.0
4.652,72.1,344.0
4.64,74.6,348.0
4.656,76.0,354.0
4.644,74.4,348.0
4.644,72.3,334.0
4.648,73.3,344.0
4.648,74.4,350.0
4.648,69.5,322.0
4.648,73.8,344.0
4.656,73.8,344.0
4.648,75.9,354.0
4.644,76.0,354.0
4.656,72.9,348.0
4.64,75.0,338.0
4.652,75.2,350.0
4.648,73.8,344.0
4.648,71.2,330.0
4.656,75.0,350.0
4.64,74.4,354.0
4.648,69.9,348.0
4.644,75.5,350.0
4.656,73.6,340.0
4.644,74.7,348.0
4.648,75.2,348.0
4.652,74.1,344.0
4.644,74.5,338.0
4.66,76.1,348.0
4.636,74.7,348.0
4.652,71.7,334.0
4.652,74.2,344.0
4.648,75.0,348.0
4.644,74.9,348.0
4.648,73.7,350.0
4.656,74.2,344.0
4.644,75.9,354.0
4.656,75.9,354.0
4.656,74.8,348.0
4.64,72.5,338.0
4.664,75.4,344.0
4.644,74.0,350.0
4.652,70.9,328.0
4.644,74.3,348.0
4.644,76.7,358.0
4.648,74.6,348.0
4.64,76.7,358.0
4.656,74.2,348.0
4.644,74.6,340.0
4.664,75.7,350.0
4.648,74.5,348.0
4.644,72.0,334.0
4.66,74.9,348.0
4.648,74.8,354.0
4.652,71.0,350.0
4.648,73.8,344.0
4.656,75.8,354.0
4.644,74.6,348.0
4.644,75.5,350.0
4.652,74.7,348.0
4.648,75.5,348.0
4.656,76.1,340.0
4.644,75.2,350.0
4.652,72.4,338.0
4.66,74.3,348.0
4.644,75.7,350.0
4.652,73.9,344.0
4.644,74.1,350.0
4.656,76.3,354.0
4.64,74.0,344.0
4.656,76.4,354.0
4.656,74.8,348.0
4.64,72.4,338.0
4.66,75.4,340.0
4.644,74.7,354.0
4.656,71.4,330.0
4.644,75.1,350.0
4.668,76.3,354.0
4.644,74.7,348.0
4.648,75.4,350.0
4.652,76.0,348.0
4.648,74.0,344.0
4.66,75.7,350.0
4.644,74.4,348.0
4.644,73.7,344.0
4.66,74.0,344.0
4.644,75.0,358.0
4.644,71.5,340.0
4.644,75.0,350.0
4.664,76.0,354.0
4.648,73.7,344.0
4.644,75.7,350.0
4.656,75.7,354.0
4.64,74.2,344.0
4.664,77.0,338.0
4.644,74.7,348.0
4.652,72.5,338.0
4.66,74.3,348.0
4.644,75.9,354.0
4.648,71.2,348.0
4.644,75.1,358.0
4.66,76.8,348.0
4.644,74.6,348.0
4.66,76.1,354.0
4.652,75.0,350.0
4.648,73.8,344.0
4.656,76.0,344.0
4.648,74.8,358.0
4.652,73.2,340.0
4.648,75.0,350.0
4.64,76.7,358.0
4.656,73.8,344.0
4.648,75.7,350.0
4.656,75.9,340.0
4.644,73.7,350.0
4.66,76.1,354.0
4.644,75.4,350.0
4.64,74.2,344.0
4.66,74.1,344.0
4.644,74.0,354.0
4.656,72.5,344.0
4.648,74.3,354.0
4.66,75.4,350.0
4.644,74.6,348.0
4.644,76.3,354.0
4.66,74.2,344.0
4.64,73.9,350.0
4.664,76.0,338.0
4.644,74.1,344.0
4.656,73.9,344.0
4.656,74.0,344.0
4.648,76.5,354.0
4.652,74.0,344.0
4.648,75.4,358.0
4.66,75.8,334.0
4.648,73.8,344.0
4.664,76.0,354.0
4.664,72.9,340.0
4.644,75.6,350.0
4.656,77.2,344.0
4.644,74.7,354.0
4.652,75.0,348.0
4.648,74.5,348.0
4.64,75.3,350.0
4.656,73.7,344.0
4.644,75.8,350.0
4.66,75.4,334.0
4.64,75.6,354.0
4.664,76.4,354.0
4.644,73.6,344.0
4.644,75.8,350.0
4.664,73.4,340.0
4.64,74.2,350.0
4.66,74.8,344.0
4.64,74.8,348.0
4.66,76.3,354.0
4.652,74.5,348.0
4.648,76.5,358.0
4.66,71.1,330.0
4.652,74.4,354.0
4.66,75.9,338.0
4.648,72.7,338.0
4.66,76.2,354.0
4.664,74.5,348.0
4.648,76.2,354.0
4.652,75.4,348.0
4.648,74.5,354.0
4.656,75.7,350.0
4.644,74.2,348.0
4.664,76.1,354.0
4.664,72.0,334.0
4.64,76.5,358.0
4.664,77.0,340.0
4.644,73.0,354.0
4.66,76.1,354.0
4.648,74.0,344.0
4.652,75.6,350.0
4.66,74.5,348.0
4.64,74.9,360.0
4.66,76.2,328.0
4.64,74.8,348.0
4.66,75.7,350.0
4.644,71.3,330.0
4.648,75.9,354.0
4.656,72.3,338.0
4.652,73.3,350.0
4.656,77.0,348.0
4.648,73.7,344.0
4.656,76.5,354.0
4.664,74.7,348.0
4.644,75.7,350.0
4.66,75.7,318.0
4.644,74.1,354.0
4.656,76.1,354.0
4.644,70.4,328.0
4.66,76.2,354.0
4.664,72.6,338.0
4.644,75.6,350.0
4.66,76.6,344.0
4.644,73.2,350.0
4.66,75.7,350.0
4.644,74.8,348.0
4.644,76.3,354.0
4.66,68.4,318.0
4.648,76.5,354.0
4.66,75.6,324.0
4.64,68.9,348.0
4.656,76.2,354.0
4.64,71.6,334.0
4.652,75.5,350.0
4.652,71.2,330.0
4.648,73.5,354.0
4.652,76.5,312.0
4.652,72.4,338.0
4.656,75.7,350.0
4.664,68.8,322.0
4.644,75.8,354.0
4.664,70.7,328.0
4.644,69.9,350.0
4.656,76.6,324.0
4.644,72.0,334.0
4.656,75.9,354.0
4.664,69.5,324.0
4.644,75.5,350.0
4.664,76.1,314.0
4.644,72.0,358.0
4.66,76.2,354.0
4.644,69.2,322.0
4.66,76.1,354.0
4.66,69.9,324.0
