Bus Voltage (V),Current (mA),Power (mW)
4.716,17.9,86.0
4.716,17.9,86.0
4.712,17.9,86.0
4.716,17.9,86.0
4.72,18.0,86.0
4.712,17.7,82.0
4.716,17.7,82.0
4.716,17.8,86.0
4.712,18.0,86.0
4.72,17.7,86.0
4.72,17.7,82.0
4.716,17.6,86.0
4.72,18.0,86.0
4.716,17.8,86.0
4.716,18.0,86.0
4.716,17.9,86.0
4.716,17.8,86.0
4.716,17.9,82.0
4.716,17.9,86.0
4.712,18.1,86.0
4.716,17.8,86.0
4.72,17.9,86.0
4.712,17.9,86.0
4.716,17.8,86.0
4.716,18.1,86.0
4.712,18.1,86.0
4.72,18.0,82.0
4.716,18.0,86.0
4.716,17.9,86.0
4.716,17.7,86.0
4.72,18.0,86.0
4.716,18.2,86.0
4.716,18.0,86.0
4.716,17.9,86.0
4.72,17.6,86.0
4.72,18.0,86.0
4.716,17.8,86.0
4.72,17.8,82.0
4.712,21.0,98.0
4.708,21.0,98.0
4.712,20.7,98.0
4.712,20.8,98.0
4.708,20.8,98.0
4.712,20.7,98.0
4.716,20.9,98.0
4.708,21.2,98.0
4.712,21.0,98.0
4.712,20.8,98.0
4.708,20.9,98.0
4.712,20.7,98.0
4.712,21.3,102.0
4.708,20.5,96.0
4.712,20.9,98.0
4.716,20.7,98.0
4.712,20.7,98.0
4.716,20.9,98.0
4.716,20.7,98.0
4.712,20.8,98.0
4.712,20.7,98.0
4.712,21.0,98.0
4.712,20.9,98.0
4.712,20.9,98.0
4.712,21.2,98.0
4.712,20.6,98.0
4.712,20.9,98.0
4.712,20.7,98.0
4.712,20.6,98.0
4.712,21.1,98.0
4.708,20.8,98.0
4.712,20.8,98.0
4.712,21.0,98.0
4.708,21.2,98.0
4.712,20.7,98.0
4.712,21.0,98.0
4.708,21.2,98.0
4.712,21.0,96.0
4.712,21.0,98.0
4.708,20.7,98.0
4.712,20.8,98.0
4.712,21.1,98.0
4.712,21.2,98.0
4.716,20.9,98.0
4.712,20.6,98.0
4.708,20.9,98.0
4.716,20.9,98.0
4.712,20.7,98.0
4.712,21.0,98.0
4.716,21.0,98.0
4.712,20.9,98.0
4.708,21.0,98.0
4.712,20.7,98.0
4.712,21.0,98.0
4.712,21.0,98.0
4.712,21.0,98.0
4.708,21.1,98.0
4.712,21.1,98.0
4.712,21.0,98.0
4.708,20.8,98.0
4.712,20.6,98.0
4.712,21.0,98.0
4.708,21.2,98.0
4.712,20.7,98.0
4.712,21.1,98.0
4.708,21.1,98.0
4.712,20.9,98.0
4.716,21.0,98.0
4.708,20.9,98.0
4.716,20.3,98.0
4.712,21.3,102.0
4.712,21.1,98.0
4.716,21.0,98.0
4.712,20.8,98.0
4.712,20.9,98.0
4.712,21.0,98.0
4.712,20.7,98.0
4.708,20.7,98.0
4.716,20.6,98.0
4.712,20.8,98.0
4.708,20.8,98.0
4.712,20.9,98.0
4.712,20.9,98.0
4.712,20.9,98.0
4.712,21.0,98.0
4.712,20.8,98.0
4.712,20.7,98.0
4.716,20.9,98.0
4.708,20.7,98.0
4.712,20.5,98.0
4.708,20.9,98.0
4.708,21.1,98.0
4.712,21.2,98.0
4.716,20.8,98.0
4.708,21.1,98.0
4.712,20.8,98.0
4.716,21.1,98.0
4.708,20.6,98.0
4.712,20.8,98.0
4.716,20.8,98.0
4.708,20.8,98.0
4.712,20.8,98.0
4.712,20.8,98.0
4.712,20.9,98.0
4.712,20.7,98.0
4.712,20.8,98.0
4.712,20.8,98.0
4.712,20.7,96.0
4.712,20.7,98.0
4.712,20.9,98.0
4.716,20.7,98.0
4.716,21.0,98.0
4.712,21.0,98.0
4.716,21.2,98.0
4.708,21.0,98.0
4.712,20.9,98.0
4.712,21.0,98.0
4.708,20.7,98.0
4.712,20.8,98.0
4.712,20.9,98.0
4.708,21.1,98.0
4.716,21.0,98.0
4.712,20.9,98.0
4.708,21.0,98.0
4.716,20.6,98.0
4.712,20.9,98.0
4.708,20.9,98.0
4.712,20.7,98.0
4.712,20.9,98.0
4.712,20.9,98.0
4.712,21.1,98.0
4.712,20.8,98.0
4.712,20.9,98.0
4.712,20.9,98.0
4.712,20.8,98.0
4.708,20.5,98.0
4.712,20.7,98.0
4.712,21.0,98.0
4.712,20.8,98.0
4.708,21.1,98.0
4.712,21.1,98.0
4.712,20.9,98.0
4.712,20.8,98.0
4.712,21.0,98.0
4.716,20.9,96.0
4.712,20.8,98.0
4.704,20.8,98.0
4.708,20.8,102.0
4.712,20.6,98.0
4.708,21.0,98.0
4.712,20.9,98.0
4.712,20.8,98.0
4.708,21.0,98.0
4.712,20.7,98.0
4.712,20.8,98.0
4.708,21.0,98.0
4.712,20.8,98.0
4.712,20.7,98.0
4.708,20.8,98.0
4.712,20.8,98.0
4.712,20.7,98.0
4.708,21.1,98.0
4.712,21.0,98.0
4.712,20.8,98.0
4.708,20.9,98.0
4.712,20.9,98.0
4.712,20.8,98.0
4.712,21.0,98.0
4.712,20.8,98.0
4.712,21.1,98.0
4.712,20.7,98.0
4.716,21.0,98.0
4.712,20.9,98.0
4.712,20.7,98.0
4.712,20.7,98.0
4.712,20.9,98.0
4.716,20.8,98.0
4.712,20.7,98.0
4.708,21.0,98.0
4.712,21.1,98.0
4.712,21.0,98.0
4.704,21.0,98.0
4.712,20.7,98.0
4.716,20.6,98.0
4.708,20.7,98.0
4.712,20.7,98.0
4.712,20.9,98.0
4.708,20.9,98.0
4.708,21.0,98.0
4.712,21.0,98.0
4.708,20.9,98.0
4.708,21.1,98.0
4.716,20.7,98.0
4.708,20.7,98.0
4.712,20.5,98.0
4.712,20.6,98.0
4.712,20.8,98.0
4.712,21.0,98.0
4.712,20.9,98.0
4.708,20.9,98.0
4.712,20.8,98.0
4.712,20.8,98.0
4.708,20.7,98.0
4.712,20.9,98.0
4.712,20.9,98.0
4.712,21.0,98.0
4.712,21.0,98.0
4.712,21.0,98.0
4.708,21.0,98.0
4.712,21.0,98.0
4.704,20.9,98.0
4.712,20.7,96.0
4.712,20.7,98.0
4.708,21.0,98.0
4.712,20.7,98.0
4.712,21.0,98.0
4.708,21.0,98.0
