Bus Voltage (V),Current (mA),Power (mW)
4.736,47.1,222.0
4.736,46.7,220.0
4.736,47.3,226.0
4.736,47.2,222.0
4.732,46.7,220.0
4.732,47.3,222.0
4.736,47.2,222.0
4.732,46.7,220.0
4.732,47.4,220.0
4.736,46.9,222.0
4.732,46.5,220.0
4.736,46.9,222.0
4.736,47.3,222.0
4.732,46.8,220.0
4.732,46.9,222.0
4.732,47.6,226.0
4.732,46.6,220.0
4.732,46.9,222.0
4.736,47.5,226.0
4.732,46.5,222.0
4.732,47.0,222.0
4.732,47.3,222.0
4.732,47.3,222.0
4.732,47.2,222.0
4.736,47.4,226.0
4.736,47.4,222.0
4.732,46.7,220.0
4.732,47.6,226.0
4.732,47.2,222.0
4.736,46.6,220.0
4.736,47.4,222.0
4.736,47.4,222.0
4.736,46.8,222.0
4.732,47.3,222.0
4.736,47.3,222.0
4.736,46.9,222.0
4.732,47.1,220.0
4.732,47.4,226.0
4.732,46.8,222.0
4.736,47.1,222.0
4.736,47.4,222.0
4.732,46.8,222.0
4.732,46.9,222.0
4.732,47.6,226.0
4.732,46.6,220.0
4.732,46.9,222.0
4.732,47.6,226.0
4.732,48.0,226.0
4.7,73.4,312.0
4.688,68.5,340.0
4.696,74.3,348.0
4.692,68.3,322.0
4.688,71.9,338.0
4.704,68.4,322.0
4.692,70.1,344.0
4.704,73.3,322.0
4.696,71.8,338.0
4.7,72.7,340.0
4.704,70.4,330.0
4.692,73.5,344.0
4.7,72.2,322.0
4.692,72.3,340.0
4.7,72.8,340.0
4.692,70.9,334.0
4.696,72.8,340.0
4.7,70.8,334.0
4.692,73.3,340.0
4.7,72.0,328.0
4.688,71.4,334.0
4.704,73.0,344.0
4.696,72.2,340.0
4.692,71.9,338.0
4.7,71.9,334.0
4.688,70.7,334.0
4.7,71.5,334.0
4.692,73.2,344.0
4.688,71.3,334.0
4.7,70.5,330.0
4.692,74.6,344.0
4.7,70.2,328.0
4.688,72.7,340.0
4.704,70.8,330.0
4.7,70.9,334.0
4.692,71.5,334.0
4.7,69.8,338.0
4.692,71.5,338.0
4.7,69.2,324.0
4.696,70.1,330.0
4.688,71.4,334.0
4.692,71.1,334.0
4.688,71.4,334.0
4.696,71.0,334.0
4.688,70.6,330.0
4.688,70.1,328.0
4.696,72.5,340.0
4.688,70.6,324.0
4.692,69.8,334.0
4.692,73.0,344.0
4.696,69.0,324.0
4.696,74.4,350.0
4.692,69.2,324.0
4.692,68.0,330.0
4.692,73.9,324.0
4.696,69.4,324.0
4.684,70.9,334.0
4.692,67.7,318.0
4.696,72.3,340.0
4.692,74.4,322.0
4.696,67.7,344.0
4.692,71.8,338.0
4.696,67.9,318.0
4.688,73.2,344.0
4.696,68.2,322.0
4.692,66.8,358.0
4.692,72.8,322.0
4.696,67.6,318.0
4.688,74.6,350.0
4.692,67.6,318.0
4.692,75.7,354.0
4.696,74.5,322.0
4.692,66.9,358.0
4.692,75.4,354.0
4.696,67.5,318.0
4.688,74.8,350.0
4.696,67.8,318.0
4.692,67.0,358.0
4.696,74.8,318.0
4.692,66.4,312.0
4.692,75.7,358.0
4.696,66.7,312.0
4.692,74.9,350.0
4.7,75.4,322.0
4.692,66.2,354.0
4.692,74.6,350.0
4.688,67.4,318.0
4.696,75.4,354.0
4.696,66.6,312.0
4.696,67.3,354.0
4.692,75.0,350.0
4.688,65.8,308.0
4.696,75.2,354.0
4.696,66.5,312.0
4.692,74.9,350.0
4.7,75.3,312.0
4.684,66.5,312.0
4.696,75.3,354.0
4.7,65.4,308.0
4.688,75.2,354.0
4.7,74.8,312.0
4.688,66.3,350.0
4.7,75.7,354.0
4.688,65.3,308.0
4.684,75.3,354.0
4.7,66.3,312.0
4.684,66.0,354.0
4.696,75.2,308.0
4.692,66.5,312.0
4.7,75.8,354.0
4.7,66.1,312.0
4.684,75.4,354.0
4.696,75.4,308.0
4.684,66.0,350.0
