Bus Voltage (V),Current (mA),Power (mW)
4.656,46.9,220.0
4.652,46.7,216.0
4.66,47.8,220.0
4.656,47.7,220.0
4.644,47.5,220.0
4.652,47.0,220.0
4.652,47.2,220.0
4.66,48.8,226.0
4.652,48.6,226.0
4.656,48.1,222.0
4.652,46.9,220.0
4.656,47.2,220.0
4.656,47.7,222.0
4.66,47.5,222.0
4.656,47.1,220.0
4.66,48.0,222.0
4.656,48.3,226.0
4.664,48.4,222.0
4.66,47.5,222.0
4.664,46.9,220.0
4.656,47.2,220.0
4.656,48.0,222.0
4.664,48.8,226.0
4.652,48.3,226.0
4.656,48.1,222.0
4.656,47.5,222.0
4.664,47.7,222.0
4.66,47.9,222.0
4.664,47.2,222.0
4.66,47.4,220.0
4.664,48.5,226.0
4.66,48.8,230.0
4.66,47.8,222.0
4.66,47.1,220.0
4.664,47.2,220.0
4.66,48.0,222.0
4.66,47.9,222.0
4.66,48.3,226.0
4.656,47.9,222.0
4.66,48.5,226.0
4.66,48.1,222.0
4.664,48.2,226.0
4.66,46.9,222.0
4.664,47.2,220.0
4.656,48.5,226.0
4.664,49.8,232.0
4.652,49.4,312.0
4.612,54.5,252.0
4.656,48.5,226.0
4.664,48.8,226.0
4.66,49.1,230.0
4.656,55.8,256.0
4.608,48.7,226.0
4.652,49.4,230.0
4.656,49.8,232.0
4.656,49.3,230.0
4.66,62.2,288.0
4.608,65.5,222.0
4.66,48.5,226.0
4.66,49.2,230.0
4.664,48.9,230.0
4.656,49.2,230.0
4.612,65.9,304.0
4.66,48.9,230.0
4.664,49.2,230.0
4.66,48.6,226.0
4.668,48.2,222.0
4.608,65.2,294.0
4.652,49.9,232.0
4.66,49.8,232.0
4.656,49.2,230.0
4.664,48.2,222.0
4.604,65.7,302.0
4.644,49.2,230.0
4.656,48.6,226.0
4.664,48.7,230.0
4.652,49.4,230.0
4.644,66.5,304.0
4.656,49.1,230.0
4.668,48.9,226.0
4.66,48.1,222.0
4.668,48.4,226.0
4.628,65.7,308.0
4.656,49.7,232.0
4.656,49.4,230.0
4.656,49.2,226.0
4.66,48.2,226.0
4.608,66.2,304.0
4.612,48.5,226.0
4.66,48.1,226.0
4.664,48.6,226.0
4.66,50.0,232.0
4.664,66.8,308.0
4.608,49.4,230.0
4.664,48.0,222.0
4.664,48.4,226.0
4.668,48.8,230.0
4.66,64.8,308.0
4.628,49.4,230.0
4.66,48.8,226.0
4.66,49.3,230.0
4.664,49.4,230.0
4.66,66.0,304.0
4.612,48.2,226.0
4.66,48.6,222.0
4.664,49.1,230.0
4.66,49.9,232.0
4.66,49.8,308.0
4.608,60.4,226.0
4.668,48.5,226.0
4.66,49.0,230.0
4.664,48.6,230.0
4.66,49.3,226.0
4.608,53.8,250.0
4.66,49.2,230.0
4.66,49.7,232.0
4.66,49.1,230.0
4.656,56.7,262.0
