Bus Voltage (V),Current (mA),Power (mW)
4.672,47.2,220.0
4.66,47.0,220.0
4.672,46.7,216.0
4.66,47.7,222.0
4.668,48.5,222.0
4.664,46.8,220.0
4.668,46.9,220.0
4.668,47.4,220.0
4.672,47.3,220.0
4.668,46.7,220.0
4.664,47.9,222.0
4.664,48.4,226.0
4.66,47.2,220.0
4.668,47.1,220.0
4.668,47.6,220.0
4.672,47.4,222.0
4.668,46.7,216.0
4.668,47.5,222.0
4.664,48.5,226.0
4.668,47.5,222.0
4.668,47.3,220.0
4.672,47.6,222.0
4.664,47.1,220.0
4.668,46.9,216.0
4.668,47.7,220.0
4.66,48.0,222.0
4.66,47.6,222.0
4.664,47.7,222.0
4.668,47.7,220.0
4.664,47.2,220.0
4.672,46.6,216.0
4.664,47.6,222.0
4.668,47.5,222.0
4.664,47.5,222.0
4.668,48.0,222.0
4.668,48.4,226.0
4.668,47.2,220.0
4.664,46.5,216.0
4.672,47.4,222.0
4.668,47.2,220.0
4.668,47.3,220.0
4.664,48.1,226.0
4.664,48.6,226.0
4.664,47.3,222.0
4.664,46.9,220.0
4.668,47.4,222.0
4.66,48.0,222.0
4.664,47.8,222.0
4.66,48.5,308.0
4.668,49.6,232.0
4.66,48.5,226.0
4.668,64.9,298.0
4.664,48.9,226.0
4.668,48.4,222.0
4.66,58.6,272.0
4.66,48.4,226.0
4.664,49.6,232.0
4.656,48.5,308.0
4.66,49.0,222.0
4.664,48.7,226.0
4.64,66.2,304.0
4.66,47.9,222.0
4.664,48.5,222.0
4.664,60.8,308.0
4.664,48.9,230.0
4.66,49.2,230.0
4.668,66.3,304.0
4.664,48.5,226.0
4.668,47.8,222.0
4.632,65.8,304.0
4.668,49.0,230.0
4.664,48.8,226.0
4.644,66.5,308.0
4.664,49.3,230.0
4.66,48.3,226.0
4.664,65.9,304.0
4.664,48.1,222.0
4.672,48.5,230.0
4.612,66.1,304.0
4.664,49.1,230.0
4.664,49.6,232.0
4.64,66.3,308.0
4.664,47.8,222.0
4.672,48.8,226.0
4.616,66.0,304.0
4.672,47.8,222.0
4.668,48.9,230.0
4.608,66.8,266.0
4.66,49.5,230.0
4.664,48.1,222.0
4.62,65.9,308.0
4.664,48.9,230.0
4.668,48.0,222.0
4.608,65.8,304.0
4.672,49.6,232.0
4.664,49.2,230.0
4.612,66.4,226.0
4.668,48.5,226.0
4.672,48.3,226.0
4.616,52.7,246.0
4.676,48.1,222.0
4.664,49.1,230.0
4.608,66.5,230.0
4.668,49.2,230.0
4.664,48.9,230.0
4.62,48.3,226.0
4.664,47.8,222.0
4.672,48.1,226.0
4.612,48.6,226.0
4.668,48.6,226.0
4.664,49.0,230.0
4.616,59.1,230.0
4.668,48.5,226.0
4.672,47.7,222.0
4.652,48.2,226.0
4.672,48.6,226.0
4.664,47.7,226.0
4.636,49.0,226.0
4.668,49.7,232.0
4.66,49.1,230.0
4.616,48.0,222.0
4.668,48.9,226.0
4.668,48.8,252.0
4.656,48.0,222.0
4.668,48.4,226.0
4.664,49.5,230.0
4.644,49.4,230.0
4.668,48.3,222.0
4.672,48.8,226.0
4.616,48.8,230.0
4.672,48.1,222.0
4.664,48.2,286.0
4.664,49.2,230.0
4.668,49.3,230.0
4.664,48.8,226.0
4.644,48.6,226.0
4.668,48.5,226.0
4.668,47.9,222.0
4.668,48.2,226.0
4.672,49.1,230.0
4.668,61.4,286.0
4.672,49.0,226.0
4.668,49.4,230.0
4.672,50.8,236.0
4.668,47.8,222.0
4.672,48.2,226.0
4.672,48.8,308.0
4.664,48.6,226.0
4.668,48.9,230.0
4.664,62.4,288.0
4.668,48.6,226.0
4.664,48.1,226.0
4.672,54.5,252.0
4.672,48.9,230.0
4.676,48.3,226.0
4.664,66.1,304.0
4.676,49.6,230.0
4.664,49.3,230.0
4.664,65.6,302.0
4.672,48.2,226.0
4.68,49.0,230.0
4.676,58.4,304.0
4.668,48.4,226.0
4.672,49.5,232.0
4.664,67.3,312.0
4.672,48.8,226.0
4.672,48.3,226.0
4.668,66.3,308.0
4.672,47.5,222.0
4.676,48.5,226.0
4.676,60.5,308.0
4.672,49.6,230.0
4.672,48.6,226.0
4.628,66.3,308.0
4.676,48.8,230.0
4.68,47.8,222.0
4.644,65.9,304.0
4.676,49.0,230.0
4.672,49.0,230.0
4.644,66.8,308.0
4.676,49.8,230.0
4.672,48.7,230.0
4.632,65.5,304.0
4.672,48.2,226.0
4.684,48.7,226.0
4.632,66.3,308.0
4.68,48.8,230.0
4.676,49.6,232.0
4.656,66.8,308.0
4.676,48.1,226.0
4.68,48.3,226.0
4.628,66.3,308.0
4.676,48.8,230.0
4.676,48.2,226.0
4.628,61.2,286.0
4.676,49.2,232.0
4.672,48.4,226.0
4.632,63.5,298.0
4.676,48.9,230.0
4.68,48.2,226.0
4.628,65.6,222.0
4.684,48.7,226.0
4.68,49.4,230.0
4.632,48.9,230.0
4.676,48.4,226.0
4.68,48.8,230.0
4.632,60.9,286.0
4.676,47.8,222.0
4.68,49.0,230.0
4.624,63.5,230.0
4.68,48.8,226.0
4.672,48.9,230.0
4.66,48.8,230.0
4.676,48.4,226.0
4.684,48.5,226.0
4.632,51.5,226.0
4.688,48.9,230.0
4.676,49.0,230.0
4.632,49.2,230.0
4.68,49.3,230.0
4.68,47.7,222.0
4.668,48.4,226.0
4.68,48.6,226.0
4.68,48.5,226.0
4.652,48.3,226.0
4.68,49.2,230.0
4.676,50.0,232.0
4.632,48.1,226.0
4.684,48.4,226.0
4.684,49.0,240.0
4.68,48.4,226.0
4.684,48.0,222.0
4.676,49.2,230.0
4.656,49.7,232.0
4.676,48.8,226.0
4.676,48.3,226.0
4.684,48.9,230.0
4.676,48.4,226.0
4.68,61.0,282.0
4.68,48.9,226.0
4.684,49.5,232.0
4.676,49.2,230.0
4.672,49.0,230.0
4.68,48.7,230.0
4.684,48.5,308.0
4.68,48.1,226.0
4.684,48.6,226.0
4.68,60.9,282.0
4.68,49.0,230.0
4.68,49.1,230.0
4.676,54.1,250.0
4.68,48.3,226.0
4.676,48.1,226.0
4.68,66.2,308.0
4.68,48.3,230.0
4.68,48.9,230.0
4.676,64.9,302.0
4.684,50.0,232.0
4.676,48.0,226.0
4.684,60.1,304.0
4.68,48.8,230.0
4.684,48.1,226.0
4.68,66.4,308.0
4.684,49.3,230.0
4.68,50.1,232.0
4.664,67.4,312.0
4.68,48.1,226.0
4.676,48.9,230.0
4.68,61.5,308.0
4.676,48.1,226.0
4.684,48.6,226.0
4.628,67.1,312.0
4.68,49.2,230.0
4.68,48.2,222.0
4.644,66.4,312.0
4.684,48.5,226.0
4.684,48.0,222.0
4.664,65.8,304.0
4.684,49.5,232.0
4.68,48.8,232.0
4.632,66.3,308.0
4.684,48.9,230.0
4.68,48.4,226.0
4.64,65.8,286.0
4.68,48.5,226.0
4.688,49.1,230.0
4.656,66.7,312.0
4.684,49.4,230.0
4.676,49.4,230.0
4.644,66.4,308.0
4.684,47.7,222.0
4.688,48.1,226.0
4.636,62.3,292.0
4.676,48.4,226.0
4.68,49.4,232.0
4.628,67.5,314.0
4.684,48.6,226.0
4.68,48.0,226.0
4.64,66.7,250.0
4.68,48.4,226.0
4.684,48.1,226.0
4.632,63.5,298.0
4.68,49.7,232.0
4.676,49.6,230.0
4.64,66.0,308.0
4.684,49.0,230.0
4.692,48.7,230.0
4.636,48.1,226.0
4.68,48.5,226.0
4.684,49.7,232.0
4.632,53.8,252.0
4.68,48.2,226.0
4.68,48.8,230.0
