Bus Voltage (V),Current (mA),Power (mW)
4.74,17.8,86.0
4.74,17.7,86.0
4.736,17.7,86.0
4.736,17.9,86.0
4.744,17.5,86.0
4.744,17.9,86.0
4.74,17.7,86.0
4.74,17.6,82.0
4.744,17.5,82.0
4.74,17.9,86.0
4.736,17.7,86.0
4.744,17.9,86.0
4.744,17.7,86.0
4.74,17.5,82.0
4.74,17.5,82.0
4.736,17.7,86.0
4.744,17.8,82.0
4.74,17.5,82.0
4.74,17.9,82.0
4.744,17.6,82.0
4.74,17.7,86.0
4.74,17.8,86.0
4.744,18.1,86.0
4.74,17.4,86.0
4.74,17.7,86.0
4.74,18.0,86.0
4.74,18.0,86.0
4.74,17.9,86.0
4.744,17.7,86.0
4.74,17.9,86.0
4.74,17.8,86.0
4.744,17.6,86.0
4.74,17.7,86.0
4.74,17.9,86.0
4.74,17.6,82.0
4.736,17.4,82.0
4.744,17.6,86.0
4.744,17.8,86.0
4.744,17.7,86.0
4.736,20.8,98.0
4.736,20.8,98.0
4.736,20.5,96.0
4.736,20.7,98.0
4.736,20.8,98.0
4.736,20.6,98.0
4.736,20.8,98.0
4.736,20.6,98.0
4.736,20.7,98.0
4.736,20.7,98.0
4.736,20.8,98.0
4.736,20.8,98.0
4.736,20.7,98.0
4.732,20.9,98.0
4.732,20.5,98.0
4.736,20.6,98.0
4.736,21.0,98.0
4.736,20.8,98.0
4.728,21.1,98.0
4.74,20.6,98.0
4.736,20.8,98.0
4.736,20.6,98.0
4.732,20.8,98.0
4.732,20.5,98.0
4.736,20.8,98.0
4.736,20.9,98.0
4.732,20.6,98.0
4.736,20.7,98.0
4.732,20.7,98.0
4.736,20.6,98.0
4.736,20.9,98.0
4.736,20.8,98.0
4.736,20.8,98.0
4.732,20.6,98.0
4.736,20.8,98.0
4.732,20.9,98.0
4.736,20.7,98.0
4.736,20.9,98.0
4.732,20.8,98.0
4.736,20.8,98.0
4.736,20.7,98.0
4.736,20.8,98.0
4.736,20.8,98.0
4.732,20.8,98.0
4.736,20.5,98.0
4.736,20.5,98.0
4.736,20.6,98.0
4.736,20.9,98.0
4.736,20.8,98.0
4.736,20.8,98.0
4.736,20.6,98.0
4.736,20.7,98.0
4.74,21.0,98.0
4.732,20.9,98.0
4.736,20.5,98.0
4.736,20.6,98.0
4.732,20.8,98.0
4.736,20.9,98.0
4.732,20.7,98.0
4.736,20.8,98.0
4.732,20.7,98.0
4.732,20.8,98.0
4.736,20.7,98.0
4.732,20.7,98.0
4.736,20.7,98.0
4.732,21.0,98.0
4.736,20.9,98.0
4.736,20.8,98.0
4.732,20.9,98.0
4.736,20.7,98.0
4.736,20.9,98.0
4.736,20.8,98.0
4.736,20.8,98.0
4.736,20.9,98.0
4.736,20.9,98.0
4.736,20.8,98.0
4.736,20.8,98.0
4.736,20.8,98.0
4.732,20.9,98.0
4.736,20.8,98.0
4.736,20.9,98.0
4.736,20.6,98.0
4.736,20.5,98.0
4.732,20.9,98.0
4.736,20.6,98.0
4.736,20.6,98.0
4.736,20.8,98.0
4.736,20.7,98.0
4.732,20.8,98.0
4.736,20.8,98.0
4.736,21.0,98.0
4.74,20.6,98.0
4.736,20.6,98.0
4.736,20.6,98.0
4.736,20.6,98.0
4.736,21.0,98.0
4.736,20.7,98.0
4.736,20.9,98.0
4.736,21.0,98.0
4.736,20.7,98.0
4.736,20.8,98.0
4.732,20.8,98.0
4.736,20.6,98.0
4.736,20.6,98.0
4.736,20.6,98.0
4.736,20.7,98.0
4.732,20.8,98.0
4.736,20.7,98.0
4.736,20.9,98.0
4.736,20.8,98.0
4.736,20.9,98.0
4.736,20.8,98.0
4.736,20.8,98.0
4.736,20.7,98.0
4.736,20.8,98.0
4.732,20.6,98.0
4.736,20.3,98.0
4.736,20.7,98.0
4.732,20.7,98.0
4.736,20.9,98.0
4.732,20.6,98.0
4.736,20.9,98.0
4.736,20.7,98.0
4.732,20.6,98.0
4.736,20.7,98.0
4.732,21.0,98.0
4.736,20.7,98.0
4.732,20.6,98.0
4.736,20.5,98.0
4.736,20.8,98.0
4.732,20.7,98.0
4.736,20.8,98.0
4.736,20.9,98.0
4.732,20.2,98.0
4.736,20.8,98.0
4.736,20.8,98.0
4.736,20.8,98.0
4.736,20.8,98.0
4.732,20.3,98.0
4.736,20.8,98.0
4.732,20.9,98.0
4.732,20.8,98.0
4.732,20.9,98.0
4.732,20.9,96.0
4.736,20.8,98.0
4.736,20.7,98.0
4.736,20.7,98.0
4.736,20.4,96.0
4.736,20.8,98.0
4.736,20.9,98.0
4.732,20.8,98.0
4.736,20.6,98.0
4.736,20.8,98.0
4.732,20.8,98.0
4.74,20.7,98.0
4.736,20.8,98.0
4.74,20.8,98.0
4.732,20.6,98.0
4.736,20.7,98.0
4.736,20.8,98.0
4.732,21.0,98.0
4.736,20.9,98.0
4.732,20.9,98.0
4.736,21.0,98.0
4.736,20.7,98.0
4.732,20.8,98.0
4.736,20.7,98.0
4.736,21.0,98.0
4.736,20.8,98.0
4.736,20.6,98.0
4.732,20.5,98.0
4.736,20.8,98.0
4.732,20.8,98.0
4.736,20.5,98.0
4.736,20.9,98.0
4.732,20.9,98.0
4.736,20.8,98.0
4.736,20.7,98.0
