Bus Voltage (V),Current (mA),Power (mW)
4.72,46.5,220.0
4.712,46.0,216.0
4.72,46.2,220.0
4.716,46.5,220.0
4.716,45.9,216.0
4.712,47.4,222.0
4.708,46.8,220.0
4.7,46.1,220.0
4.704,47.3,222.0
4.696,46.4,216.0
4.704,46.0,216.0
4.7,46.9,220.0
4.696,46.3,216.0
4.696,46.5,220.0
4.696,47.2,222.0
4.688,47.3,222.0
4.688,46.3,216.0
4.696,46.7,220.0
4.696,46.1,216.0
4.704,46.0,216.0
4.692,46.6,220.0
4.676,47.2,220.0
4.664,47.1,220.0
4.664,47.8,222.0
4.648,46.3,216.0
4.672,46.2,216.0
4.664,47.0,220.0
4.684,45.9,216.0
4.688,46.4,220.0
4.684,47.7,222.0
4.672,46.3,216.0
4.672,47.6,222.0
4.68,47.0,220.0
4.676,46.1,216.0
4.664,46.3,216.0
4.676,46.7,220.0
4.68,46.1,216.0
4.688,47.3,222.0
4.696,47.2,220.0
4.68,47.3,222.0
4.68,47.8,222.0
4.696,47.6,226.0
4.696,46.6,220.0
4.7,47.4,222.0
4.632,48.2,226.0
4.64,70.9,328.0
4.628,71.4,330.0
4.628,72.2,330.0
4.644,70.1,324.0
4.7,70.3,324.0
4.68,47.5,222.0
4.696,47.3,222.0
4.696,48.3,226.0
4.624,48.4,226.0
4.624,70.6,328.0
4.62,72.3,330.0
4.62,70.8,328.0
4.608,70.8,328.0
4.668,48.3,222.0
4.672,47.6,222.0
4.688,47.7,222.0
4.684,48.6,226.0
4.66,48.0,226.0
4.624,71.6,330.0
4.632,70.9,328.0
4.648,71.5,334.0
4.656,70.5,328.0
4.708,71.4,330.0
4.708,48.0,230.0
4.716,47.9,226.0
4.712,48.8,230.0
4.712,47.9,226.0
4.652,47.3,222.0
4.656,71.5,330.0
4.66,70.0,330.0
4.664,70.6,330.0
4.652,71.3,330.0
4.68,70.5,328.0
4.712,48.6,230.0
4.708,48.5,230.0
4.712,47.2,222.0
4.712,47.4,222.0
4.668,70.9,242.0
4.664,70.5,328.0
4.668,71.4,334.0
4.66,71.5,334.0
4.712,71.7,334.0
4.712,48.5,222.0
4.716,47.6,226.0
4.712,47.2,222.0
4.716,47.6,222.0
4.664,56.8,268.0
4.664,71.4,330.0
4.66,71.1,330.0
4.648,71.7,334.0
4.656,70.5,328.0
4.7,68.0,314.0
4.708,47.8,226.0
4.7,47.3,222.0
4.704,48.2,226.0
4.7,48.5,230.0
4.652,71.8,222.0
4.652,71.9,330.0
4.648,71.1,330.0
4.648,70.5,328.0
4.652,71.3,330.0
4.704,69.0,322.0
4.704,47.7,226.0
4.708,49.2,230.0
4.696,48.3,226.0
4.704,48.5,230.0
4.648,71.7,334.0
4.648,71.2,330.0
4.652,70.5,328.0
4.66,70.8,328.0
4.648,70.1,330.0
4.704,48.7,230.0
4.696,48.3,226.0
4.704,48.5,230.0
4.7,47.5,222.0
4.644,48.1,226.0
4.64,70.7,268.0
4.636,70.9,328.0
4.644,71.2,330.0
4.636,71.5,330.0
4.696,70.1,324.0
4.696,49.0,230.0
4.7,47.7,222.0
4.696,47.8,222.0
4.66,47.5,226.0
4.636,70.9,328.0
4.64,70.7,328.0
4.64,72.5,338.0
4.632,70.4,328.0
4.7,49.0,330.0
4.696,47.9,226.0
4.7,47.2,222.0
4.7,47.9,226.0
4.704,47.9,226.0
4.624,60.0,282.0
4.616,71.8,330.0
4.604,71.6,328.0
4.604,72.3,330.0
4.608,71.4,328.0
4.672,47.7,222.0
4.676,47.4,222.0
4.68,48.0,226.0
4.688,48.2,226.0
4.676,48.6,222.0
4.636,71.6,250.0
4.632,72.3,334.0
4.648,71.1,330.0
4.64,70.8,328.0
4.704,71.5,330.0
4.696,47.6,276.0
4.7,48.2,230.0
4.692,48.4,226.0
4.692,48.1,226.0
4.636,61.5,288.0
4.632,70.4,328.0
4.632,71.1,330.0
4.64,70.9,330.0
4.644,70.4,330.0
4.696,62.1,288.0
4.7,48.9,230.0
4.7,47.7,222.0
4.712,48.4,226.0
4.7,48.4,230.0
4.668,70.1,222.0
4.66,70.9,330.0
4.66,70.6,328.0
4.668,71.2,330.0
