Bus Voltage (V),Current (mA),Power (mW)
4.744,17.8,86.0
4.748,17.7,82.0
4.748,17.7,86.0
4.744,17.7,86.0
4.748,17.7,86.0
4.744,17.5,82.0
4.748,17.7,86.0
4.744,17.7,86.0
4.744,17.4,82.0
4.744,17.7,86.0
4.744,17.7,86.0
4.748,17.5,82.0
4.748,17.6,82.0
4.748,17.6,82.0
4.744,17.5,82.0
4.748,17.6,86.0
4.748,17.9,86.0
4.744,17.9,86.0
4.748,17.5,82.0
4.748,17.7,86.0
4.748,17.9,82.0
4.744,17.5,82.0
4.744,17.8,86.0
4.744,17.8,82.0
4.744,17.7,86.0
4.748,17.6,86.0
4.748,17.7,86.0
4.748,17.4,82.0
4.748,17.5,82.0
4.744,17.7,86.0
4.744,17.5,82.0
4.744,17.7,86.0
4.744,17.3,82.0
4.748,17.5,82.0
4.748,17.7,86.0
4.744,17.7,82.0
4.748,17.8,86.0
4.748,17.8,86.0
4.748,17.4,82.0
4.744,17.2,82.0
4.744,17.7,86.0
4.744,17.6,82.0
4.744,17.7,82.0
4.744,17.9,86.0
4.744,17.5,82.0
4.748,17.5,82.0
4.744,17.7,86.0
4.748,17.5,86.0
4.748,17.7,86.0
4.748,17.8,82.0
4.748,17.7,86.0
4.744,17.5,86.0
4.748,17.5,82.0
4.74,17.7,86.0
4.744,21.0,102.0
4.744,21.1,98.0
4.736,21.7,98.0
4.74,21.8,102.0
4.736,21.5,102.0
4.74,21.9,104.0
4.74,21.6,102.0
4.74,22.0,104.0
4.74,21.4,102.0
4.736,21.8,104.0
4.74,21.7,102.0
4.736,21.9,104.0
4.744,21.7,102.0
4.74,21.6,102.0
4.74,21.6,102.0
4.74,21.5,102.0
4.736,21.8,102.0
4.736,21.6,102.0
4.74,22.1,104.0
4.74,21.8,104.0
4.744,22.0,104.0
4.736,21.5,102.0
4.744,21.8,102.0
4.74,21.6,102.0
4.74,21.9,104.0
4.74,21.9,104.0
4.736,22.1,104.0
4.74,21.9,104.0
4.736,21.7,102.0
4.74,21.6,102.0
4.74,21.7,102.0
4.744,21.5,104.0
4.74,21.8,102.0
4.736,21.3,102.0
4.74,21.8,102.0
4.744,21.7,102.0
4.744,22.0,104.0
4.744,21.7,102.0
4.736,22.1,104.0
4.74,21.2,102.0
4.74,21.1,98.0
4.744,21.8,98.0
4.74,21.9,104.0
4.74,21.8,102.0
4.74,21.9,104.0
4.736,21.9,104.0
4.74,21.2,102.0
4.744,21.3,102.0
4.74,21.6,98.0
4.74,21.9,104.0
4.736,22.0,104.0
4.74,21.7,102.0
4.732,21.8,102.0
4.74,21.7,102.0
4.744,21.1,98.0
4.736,21.9,104.0
4.74,21.7,102.0
4.74,22.0,104.0
4.74,21.9,102.0
4.74,22.0,104.0
4.74,21.3,102.0
4.744,21.1,98.0
4.736,21.8,102.0
4.74,21.9,102.0
4.744,21.6,102.0
4.74,21.8,102.0
4.74,21.8,104.0
4.74,21.2,102.0
4.74,21.9,98.0
4.74,22.2,104.0
4.744,21.5,102.0
