Bus Voltage (V),Current (mA),Power (mW)
4.7,69.7,328.0
4.7,69.3,328.0
4.7,69.5,324.0
4.7,65.8,312.0
4.7,70.2,330.0
4.708,69.3,324.0
4.704,67.5,318.0
4.7,70.2,328.0
4.704,69.1,324.0
4.7,69.8,328.0
4.7,67.3,318.0
4.7,69.5,328.0
4.704,69.8,328.0
4.696,69.9,322.0
4.696,69.5,324.0
4.704,69.7,328.0
4.7,70.2,330.0
4.7,68.1,322.0
4.7,70.1,330.0
4.704,70.0,328.0
4.696,69.0,318.0
4.7,69.9,328.0
4.7,69.4,328.0
4.696,69.5,328.0
4.7,68.4,322.0
4.7,70.0,328.0
4.7,60.9,324.0
4.7,69.9,328.0
4.7,70.2,330.0
4.7,67.7,318.0
4.7,69.6,328.0
4.7,69.7,328.0
4.7,69.4,328.0
4.7,60.6,322.0
4.7,69.8,328.0
4.692,69.8,328.0
4.7,67.1,314.0
4.7,69.9,328.0
4.704,68.7,324.0
4.696,69.5,324.0
4.7,61.9,292.0
4.7,69.2,324.0
4.712,69.6,328.0
4.7,67.3,318.0
4.7,69.2,324.0
4.704,69.3,324.0
4.7,70.4,330.0
4.696,64.0,302.0
4.696,69.3,324.0
4.712,70.0,328.0
4.7,67.2,314.0
4.696,69.5,328.0
4.704,69.0,328.0
4.7,70.0,328.0
4.7,64.9,304.0
4.7,70.1,330.0
4.708,70.1,330.0
4.7,69.6,314.0
4.7,70.2,330.0
4.7,69.5,328.0
4.7,69.5,328.0
4.7,67.6,318.0
4.7,70.2,330.0
4.704,62.8,328.0
4.7,69.8,318.0
4.7,70.0,328.0
4.704,69.3,324.0
4.7,69.9,328.0
4.7,68.0,322.0
4.696,69.5,328.0
4.708,62.1,328.0
4.696,69.8,328.0
4.696,69.6,328.0
4.7,69.6,328.0
4.696,70.3,330.0
4.696,69.0,318.0
4.7,69.9,328.0
4.7,61.1,288.0
4.696,69.2,324.0
4.712,69.7,328.0
4.696,68.9,324.0
4.7,69.7,324.0
4.7,69.4,328.0
4.7,69.9,328.0
4.7,60.6,286.0
4.7,69.5,328.0
4.712,70.2,330.0
4.7,66.9,314.0
4.696,69.4,328.0
4.704,69.7,330.0
4.7,69.3,324.0
4.696,61.1,288.0
4.7,70.0,328.0
4.716,69.6,328.0
4.7,69.7,314.0
4.7,69.7,330.0
4.704,69.0,324.0
4.7,69.5,328.0
4.7,64.2,302.0
4.7,69.3,324.0
4.712,67.2,328.0
4.696,70.3,318.0
4.7,69.5,328.0
4.7,69.0,324.0
4.7,70.2,330.0
4.7,64.9,304.0
4.696,69.4,328.0
4.708,65.7,328.0
4.7,69.9,328.0
4.7,69.5,328.0
4.7,69.9,328.0
4.7,70.1,328.0
4.7,69.2,314.0
4.7,70.1,330.0
4.704,63.3,298.0
4.696,69.7,328.0
4.704,70.1,328.0
4.696,69.9,328.0
4.696,69.6,328.0
4.696,69.8,322.0
4.696,70.1,330.0
4.704,62.2,292.0
4.7,70.2,330.0
4.708,70.4,330.0
4.696,69.0,324.0
4.7,69.8,328.0
4.696,69.8,322.0
4.7,69.6,328.0
4.704,61.5,288.0
4.7,69.6,328.0
4.712,69.7,328.0
4.7,70.2,322.0
4.704,69.8,328.0
4.7,69.2,324.0
4.7,70.3,330.0
4.7,61.2,288.0
4.696,69.5,328.0
4.712,68.0,328.0
4.7,70.1,322.0
4.7,69.4,328.0
4.704,69.0,324.0
4.7,70.0,328.0
4.7,60.9,286.0
4.7,70.0,324.0
4.716,68.4,328.0
4.696,69.5,328.0
4.7,69.6,328.0
4.7,69.8,328.0
4.696,69.8,328.0
4.7,69.1,298.0
4.7,70.2,328.0
4.712,67.7,318.0
4.696,69.6,328.0
4.7,69.7,328.0
4.7,69.2,324.0
4.7,69.6,328.0
4.7,69.5,302.0
4.7,69.8,330.0
4.708,65.3,308.0
4.696,69.9,328.0
4.704,69.6,328.0
4.7,68.8,324.0
4.696,70.0,330.0
4.7,69.3,318.0
4.696,69.9,328.0
4.704,63.3,298.0
4.696,70.1,330.0
4.708,69.8,328.0
4.696,70.1,328.0
4.696,70.0,330.0
4.704,69.5,328.0
4.7,70.1,328.0
4.696,63.4,298.0
4.7,69.6,328.0
4.712,67.6,330.0
4.696,70.0,328.0
4.7,69.3,324.0
4.7,69.8,328.0
4.7,70.3,330.0
4.696,60.8,286.0
4.7,69.8,328.0
4.712,67.4,328.0
4.696,69.8,328.0
4.7,70.2,330.0
4.704,69.8,328.0
4.7,69.5,328.0
4.7,61.2,288.0
4.7,69.9,328.0
4.716,67.8,328.0
4.7,70.1,330.0
4.7,70.0,328.0
4.696,69.2,324.0
4.7,70.1,328.0
4.704,69.7,292.0
4.696,69.4,324.0
4.716,68.4,322.0
4.7,70.0,328.0
4.7,69.5,328.0
4.7,68.9,324.0
4.7,70.2,328.0
4.7,69.0,298.0
4.696,69.5,328.0
4.712,67.5,318.0
4.696,69.6,328.0
4.704,69.8,328.0
4.7,69.3,324.0
4.7,69.3,328.0
