Bus Voltage (V),Current (mA),Power (mW)
4.708,46.9,220.0
4.704,46.8,220.0
4.712,46.8,220.0
4.704,47.2,222.0
4.712,47.1,222.0
4.7,46.7,220.0
4.708,46.8,220.0
4.704,46.5,220.0
4.708,46.6,220.0
4.704,46.7,220.0
4.712,46.7,220.0
4.704,46.6,220.0
4.712,46.4,220.0
4.704,46.4,220.0
4.708,46.1,216.0
4.708,46.6,216.0
4.708,46.3,220.0
4.708,46.6,216.0
4.708,46.6,220.0
4.712,46.6,220.0
4.712,46.9,220.0
4.712,47.2,222.0
4.712,46.8,222.0
4.716,46.7,220.0
4.712,46.3,222.0
4.712,46.7,220.0
4.712,46.8,220.0
4.708,46.3,220.0
4.716,46.5,220.0
4.716,46.3,220.0
4.716,46.6,220.0
4.712,46.4,220.0
4.72,46.6,220.0
4.712,47.2,222.0
4.72,47.2,220.0
4.716,47.1,222.0
4.72,46.8,220.0
4.716,47.1,222.0
4.72,46.7,220.0
4.708,65.0,222.0
4.712,46.9,220.0
4.716,47.3,222.0
4.712,47.7,226.0
4.716,47.6,226.0
4.716,48.1,226.0
4.716,48.1,226.0
4.704,48.0,226.0
4.72,47.8,226.0
4.712,56.9,266.0
4.716,47.1,222.0
4.716,47.2,222.0
4.716,47.4,222.0
4.716,47.4,222.0
4.684,47.5,222.0
4.72,47.5,226.0
4.712,63.5,298.0
4.716,48.2,226.0
4.712,48.1,226.0
4.716,48.3,230.0
4.716,47.8,226.0
4.716,47.9,226.0
4.716,47.1,222.0
4.704,65.9,312.0
4.716,47.2,222.0
4.72,47.8,240.0
4.72,47.6,226.0
4.72,48.1,226.0
4.72,48.1,226.0
4.716,48.3,230.0
4.692,61.4,226.0
4.716,47.6,226.0
4.716,47.6,294.0
4.716,47.2,222.0
4.716,47.2,222.0
4.716,47.7,222.0
4.72,47.6,226.0
4.68,47.7,226.0
4.72,48.4,230.0
4.716,66.0,312.0
4.72,47.8,226.0
4.72,47.7,226.0
4.712,47.7,226.0
4.72,47.3,222.0
4.676,47.2,222.0
4.72,47.3,222.0
4.704,63.2,298.0
4.72,47.6,226.0
4.716,48.2,226.0
4.72,48.2,226.0
4.72,48.0,226.0
4.72,47.9,226.0
4.716,47.6,226.0
4.688,57.4,226.0
4.72,47.3,222.0
4.72,47.4,294.0
4.716,47.6,226.0
4.716,47.9,226.0
4.72,48.4,226.0
4.716,48.2,226.0
4.688,48.4,226.0
4.716,48.3,230.0
4.72,66.2,312.0
4.716,47.6,226.0
4.72,47.4,222.0
4.716,47.3,222.0
4.72,47.2,222.0
4.692,47.7,226.0
4.72,47.6,222.0
4.696,59.0,278.0
4.712,48.1,226.0
4.72,48.4,230.0
4.712,47.8,226.0
4.72,47.8,226.0
4.72,47.4,222.0
4.72,47.2,222.0
4.684,49.9,236.0
4.724,47.7,226.0
4.72,47.6,308.0
4.72,48.3,230.0
4.72,48.0,226.0
4.72,47.9,226.0
4.72,48.2,226.0
4.684,47.9,226.0
4.716,48.0,226.0
4.712,59.6,282.0
4.72,47.5,222.0
4.72,47.3,222.0
4.724,47.7,226.0
4.716,47.9,226.0
4.724,48.2,226.0
4.716,48.1,226.0
4.724,48.9,230.0
4.716,47.6,226.0
4.716,47.8,226.0
4.72,47.3,222.0
4.712,47.2,226.0
4.72,47.2,222.0
4.716,47.6,222.0
4.716,47.6,226.0
4.716,48.1,226.0
4.724,57.3,226.0
4.72,48.3,230.0
4.72,47.9,226.0
4.72,48.0,226.0
4.72,47.8,226.0
4.72,47.3,222.0
4.716,47.5,222.0
4.696,61.8,222.0
4.716,47.5,222.0
4.72,58.4,276.0
4.716,48.3,226.0
4.724,48.0,226.0
4.716,47.6,226.0
4.724,47.8,226.0
4.688,47.8,226.0
4.72,47.3,222.0
4.692,61.3,288.0
4.728,47.3,222.0
4.72,47.4,222.0
4.724,47.8,226.0
4.72,48.0,226.0
4.716,48.2,226.0
4.72,48.0,226.0
4.684,47.9,226.0
4.724,48.0,226.0
4.716,47.0,272.0
4.72,47.5,222.0
4.72,47.4,222.0
4.724,48.0,226.0
4.72,47.7,226.0
4.712,48.3,226.0
4.72,48.2,226.0
4.724,52.6,250.0
4.724,48.1,226.0
4.724,47.8,226.0
4.724,47.4,226.0
4.716,47.1,222.0
4.72,47.4,222.0
4.72,47.7,222.0
4.724,47.8,226.0
4.72,48.3,226.0
4.724,48.3,230.0
4.72,48.1,226.0
4.724,48.2,226.0
4.716,48.0,226.0
4.724,48.0,226.0
4.704,47.5,222.0
4.728,47.7,226.0
4.72,47.6,288.0
4.72,47.4,222.0
4.72,48.0,226.0
4.72,48.5,230.0
4.724,47.8,226.0
4.712,48.1,226.0
4.724,48.2,226.0
4.72,50.4,256.0
4.724,47.5,222.0
4.72,47.8,226.0
4.724,47.3,226.0
4.724,47.5,222.0
4.724,47.7,226.0
4.72,48.1,226.0
4.724,48.4,230.0
4.724,48.3,230.0
4.716,48.0,226.0
4.724,48.0,226.0
4.72,48.0,226.0
4.728,47.5,222.0
4.716,47.3,222.0
4.708,47.5,222.0
4.716,47.9,226.0
4.728,53.9,252.0
4.72,48.4,230.0
4.724,48.0,230.0
4.72,48.3,230.0
4.72,48.3,230.0
4.72,48.0,226.0
4.716,47.7,226.0
4.72,58.4,226.0
4.72,47.5,222.0
4.724,47.3,222.0
4.72,47.6,226.0
4.724,47.8,226.0
4.716,48.1,230.0
4.724,48.2,226.0
4.724,48.3,230.0
4.72,47.9,226.0
4.72,47.9,226.0
4.716,47.5,222.0
4.72,47.6,226.0
4.716,47.5,222.0
4.728,47.9,226.0
4.716,47.8,226.0
4.724,48.5,230.0
4.72,50.6,236.0
4.728,48.1,226.0
4.72,48.1,230.0
4.724,47.6,226.0
4.72,47.7,226.0
4.716,47.5,222.0
4.72,47.6,226.0
4.716,57.9,226.0
4.72,47.6,226.0
4.72,48.3,226.0
4.728,48.5,230.0
4.72,48.2,226.0
4.724,48.0,226.0
4.72,48.3,230.0
4.724,62.6,226.0
4.72,47.4,222.0
4.72,47.3,222.0
4.72,47.9,226.0
4.716,47.8,226.0
4.72,47.7,226.0
4.716,48.3,230.0
4.72,48.3,230.0
4.72,47.8,230.0
4.724,49.1,230.0
4.72,48.1,226.0
4.728,47.6,226.0
4.716,47.4,222.0
4.728,47.8,226.0
4.716,47.9,226.0
4.724,47.7,226.0
4.72,63.3,298.0
4.728,48.3,230.0
4.72,48.2,226.0
4.716,47.8,226.0
4.72,48.0,226.0
4.716,47.5,226.0
4.72,47.4,222.0
4.72,65.6,226.0
4.72,47.6,226.0
4.72,47.7,222.0
4.724,48.4,226.0
4.72,48.3,230.0
4.724,48.2,230.0
4.72,47.8,226.0
4.716,47.6,226.0
4.72,47.5,226.0
4.716,56.5,266.0
4.72,47.5,226.0
4.716,48.1,226.0
4.72,47.8,226.0
4.716,48.4,226.0
4.724,48.2,226.0
4.716,48.3,230.0
4.724,62.1,292.0
4.72,47.9,226.0
4.724,48.0,226.0
4.72,47.4,222.0
4.724,47.5,222.0
4.72,47.4,222.0
4.72,47.8,226.0
4.72,65.7,226.0
4.724,48.2,226.0
4.724,49.0,230.0
4.72,48.2,226.0
4.724,48.2,226.0
4.72,48.0,226.0
4.724,47.4,222.0
4.696,47.5,222.0
4.724,47.4,222.0
4.72,64.5,302.0
4.72,47.8,226.0
4.724,48.2,226.0
4.72,48.5,230.0
4.72,48.1,226.0
4.692,48.2,226.0
4.724,48.0,226.0
4.692,55.3,262.0
4.724,47.4,222.0
4.72,47.6,304.0
4.728,47.4,222.0
4.72,47.8,226.0
4.724,48.0,226.0
4.72,48.1,226.0
4.696,48.3,230.0
4.724,48.2,226.0
4.72,47.7,256.0
4.72,47.8,226.0
4.716,47.0,222.0
4.724,47.5,226.0
4.72,47.5,222.0
4.724,47.9,226.0
4.716,48.1,226.0
4.724,48.5,230.0
4.72,48.2,230.0
4.724,48.1,226.0
4.724,48.0,226.0
4.72,48.1,226.0
4.72,47.7,226.0
4.716,47.7,222.0
4.724,47.4,222.0
4.72,47.6,226.0
4.72,66.0,312.0
4.72,48.3,230.0
4.728,48.0,266.0
4.72,48.3,230.0
4.724,48.3,230.0
4.72,48.3,230.0
4.728,47.8,226.0
4.688,55.9,226.0
4.716,47.5,222.0
4.72,64.6,304.0
4.72,47.9,226.0
4.724,47.8,226.0
4.72,48.5,230.0
4.728,48.2,226.0
4.684,48.2,226.0
4.728,48.0,226.0
4.72,66.4,314.0
4.724,47.4,222.0
4.716,47.6,226.0
4.724,47.5,222.0
4.724,47.8,226.0
4.7,47.8,226.0
4.724,48.2,226.0
4.7,66.3,314.0
4.72,48.3,230.0
4.72,48.0,262.0
4.724,47.9,226.0
4.716,47.2,226.0
4.724,47.5,226.0
4.716,47.7,226.0
4.696,55.3,226.0
4.72,47.7,226.0
4.728,48.3,294.0
4.72,48.7,230.0
4.728,48.5,230.0
4.724,47.7,230.0
4.716,47.7,226.0
4.692,51.1,226.0
4.716,47.6,226.0
4.724,65.8,312.0
4.72,48.0,222.0
4.724,47.7,226.0
4.72,47.8,226.0
4.724,48.4,230.0
4.684,48.5,230.0
4.72,48.0,226.0
4.712,65.1,308.0
4.724,48.2,226.0
4.72,47.2,222.0
4.716,47.4,222.0
4.724,48.1,222.0
4.72,47.7,226.0
4.728,47.9,226.0
4.692,59.9,282.0
4.728,48.4,230.0
4.72,47.9,302.0
4.728,47.8,226.0
4.72,48.0,226.0
4.724,47.4,226.0
4.724,47.7,226.0
4.696,52.7,222.0
4.724,47.8,226.0
4.724,66.2,312.0
4.724,48.2,230.0
4.724,48.4,230.0
4.724,48.5,226.0
4.72,48.0,226.0
4.7,48.0,226.0
4.716,47.4,226.0
4.708,61.2,288.0
4.724,47.7,226.0
4.724,47.9,226.0
4.724,47.8,226.0
4.724,48.2,230.0
4.724,48.3,230.0
4.72,48.2,226.0
4.692,49.6,236.0
4.72,47.9,226.0
4.724,47.6,312.0
4.72,47.4,222.0
4.724,47.4,222.0
4.72,47.7,226.0
4.724,48.0,226.0
4.7,48.2,226.0
4.728,48.2,226.0
4.724,61.9,292.0
4.72,48.0,226.0
4.724,48.0,226.0
4.716,47.6,226.0
4.72,47.5,222.0
4.704,47.5,222.0
4.724,47.9,226.0
4.724,51.1,242.0
4.728,48.3,226.0
4.72,48.3,230.0
4.724,48.1,226.0
4.72,47.9,230.0
4.724,47.9,226.0
4.724,47.6,230.0
4.696,47.5,222.0
4.72,47.6,226.0
4.716,47.7,252.0
4.724,48.0,226.0
4.72,47.8,226.0
4.728,48.5,230.0
4.72,48.2,226.0
4.724,48.0,226.0
4.724,47.8,226.0
4.728,48.3,230.0
4.716,47.5,222.0
4.728,47.3,222.0
4.724,48.0,226.0
4.716,47.6,226.0
4.724,47.8,226.0
4.716,48.4,230.0
4.7,48.2,230.0
4.724,48.5,230.0
4.728,66.3,312.0
4.72,48.1,226.0
4.724,47.5,236.0
4.72,47.4,222.0
4.728,47.5,226.0
4.724,48.0,226.0
4.724,47.9,226.0
4.696,54.4,226.0
4.72,48.3,230.0
4.728,66.7,314.0
4.716,48.1,226.0
4.724,47.8,226.0
4.72,47.4,226.0
4.724,47.6,226.0
4.696,47.4,222.0
4.724,47.9,226.0
4.716,55.4,262.0
4.732,48.6,226.0
4.724,48.2,230.0
4.728,48.3,230.0
4.724,47.9,226.0
4.728,48.1,226.0
4.72,47.6,226.0
4.696,47.4,222.0
4.72,47.5,226.0
4.72,47.9,288.0
4.728,47.8,226.0
4.72,48.3,226.0
4.728,48.1,226.0
4.72,48.6,230.0
4.724,48.2,230.0
4.72,48.0,226.0
4.728,50.4,230.0
4.724,47.4,222.0
4.732,47.7,226.0
4.724,47.6,226.0
4.72,47.8,226.0
4.724,48.4,226.0
4.72,48.4,230.0
4.728,48.2,230.0
4.72,48.0,230.0
4.728,48.3,230.0
4.72,48.2,226.0
4.732,47.5,226.0
4.72,47.5,226.0
4.728,47.9,226.0
4.696,47.9,226.0
4.728,47.9,226.0
4.724,48.5,230.0
4.724,48.5,230.0
4.724,48.0,230.0
4.724,47.9,226.0
4.72,48.1,226.0
4.712,47.7,222.0
4.728,47.8,226.0
4.724,48.1,268.0
4.728,47.8,226.0
4.724,47.7,226.0
4.728,48.5,230.0
4.728,48.2,226.0
4.724,48.2,230.0
4.728,48.2,230.0
4.72,48.2,230.0
4.724,47.5,222.0
4.72,47.4,222.0
4.724,48.0,226.0
4.72,47.9,226.0
4.728,47.7,226.0
4.72,48.4,230.0
4.7,48.2,226.0
4.72,48.2,230.0
4.732,48.1,226.0
4.724,48.2,230.0
4.724,47.6,222.0
4.724,47.8,226.0
4.72,47.5,222.0
4.712,47.9,226.0
4.724,48.0,226.0
4.728,48.2,272.0
4.724,48.6,230.0
4.728,48.3,230.0
4.72,48.0,230.0
4.728,47.9,226.0
4.716,47.5,226.0
4.728,47.7,226.0
4.724,52.7,250.0
4.724,47.8,226.0
4.728,48.2,226.0
4.724,48.6,230.0
4.728,48.0,226.0
4.716,48.3,230.0
4.728,48.0,226.0
4.692,47.6,226.0
4.732,47.6,226.0
4.72,47.7,226.0
4.728,47.6,226.0
4.728,47.7,226.0
4.732,48.4,230.0
4.728,48.3,230.0
4.692,48.3,230.0
4.724,48.1,226.0
4.72,47.9,298.0
4.728,47.6,226.0
4.72,47.7,226.0
4.728,47.8,226.0
4.728,47.6,226.0
4.72,48.6,226.0
4.724,48.3,230.0
4.728,55.8,262.0
4.724,48.2,230.0
4.728,48.2,230.0
4.724,47.9,226.0
4.724,47.7,226.0
4.72,47.6,226.0
4.72,47.9,226.0
4.692,49.2,232.0
4.72,47.7,226.0
4.728,48.5,230.0
4.72,48.5,230.0
4.732,48.1,230.0
4.716,48.1,226.0
4.728,47.8,226.0
4.688,50.0,222.0
4.728,47.4,222.0
4.724,48.2,314.0
4.72,47.9,226.0
4.728,48.6,230.0
4.72,48.4,230.0
4.724,48.2,230.0
4.688,47.9,226.0
4.728,48.0,226.0
4.724,66.4,314.0
4.728,47.5,226.0
4.724,47.4,222.0
4.728,48.0,226.0
4.724,48.4,226.0
4.728,48.6,230.0
4.724,48.2,230.0
4.704,63.9,302.0
