Bus Voltage (V),Current (mA),Power (mW)
4.732,47.5,226.0
4.732,46.9,222.0
4.728,46.9,222.0
4.728,46.7,220.0
4.72,46.2,220.0
4.724,46.8,220.0
4.728,47.7,226.0
4.72,47.5,222.0
4.728,46.9,222.0
4.724,47.7,226.0
4.732,47.4,222.0
4.724,46.1,220.0
4.732,46.6,220.0
4.728,47.2,222.0
4.728,47.6,226.0
4.72,47.2,222.0
4.728,47.7,226.0
4.724,47.7,222.0
4.724,46.9,222.0
4.728,46.2,220.0
4.728,46.6,220.0
4.724,47.3,222.0
4.724,46.8,226.0
4.728,47.1,222.0
4.724,48.0,226.0
4.728,47.4,222.0
4.724,46.3,220.0
4.732,46.6,220.0
4.728,47.5,226.0
4.728,47.1,222.0
4.728,47.2,222.0
4.728,47.3,222.0
4.732,48.2,230.0
4.728,47.1,222.0
4.728,46.7,220.0
4.724,47.2,220.0
4.732,46.8,222.0
4.728,46.6,220.0
4.728,47.9,226.0
4.728,48.0,226.0
4.732,47.6,226.0
4.728,46.7,220.0
4.732,46.8,222.0
4.728,47.3,222.0
4.728,47.2,222.0
4.728,46.5,220.0
4.724,48.6,230.0
4.684,74.2,348.0
4.692,74.9,348.0
4.684,72.4,302.0
4.68,74.7,350.0
4.684,64.2,302.0
4.676,73.5,344.0
4.684,64.6,340.0
4.692,75.0,350.0
4.684,74.1,348.0
4.688,68.3,322.0
4.68,73.9,348.0
4.684,66.1,344.0
4.688,74.5,348.0
4.684,72.5,340.0
4.692,73.4,344.0
4.684,74.2,318.0
4.676,73.8,350.0
4.688,72.1,338.0
4.684,74.3,348.0
4.692,74.6,350.0
4.692,73.4,308.0
4.684,74.1,348.0
4.676,64.0,298.0
4.68,75.5,354.0
4.68,66.0,344.0
4.692,75.3,338.0
4.684,73.4,344.0
4.692,68.7,322.0
4.68,67.7,318.0
4.68,65.3,340.0
4.688,72.9,340.0
4.68,72.7,340.0
4.692,74.8,350.0
4.68,73.8,304.0
4.688,72.6,348.0
4.676,64.0,298.0
4.684,73.9,344.0
4.684,74.1,348.0
4.684,73.9,318.0
4.68,74.1,348.0
4.676,68.0,318.0
4.68,75.5,354.0
4.676,64.1,338.0
4.696,74.0,340.0
4.68,72.9,340.0
4.696,71.6,338.0
4.676,68.7,322.0
4.68,73.9,350.0
4.692,73.4,344.0
4.684,73.5,344.0
4.692,74.1,348.0
4.684,73.7,302.0
4.68,75.0,350.0
4.676,64.4,302.0
4.68,75.5,354.0
4.676,74.5,348.0
4.696,75.7,344.0
4.676,73.7,344.0
4.684,67.2,314.0
4.68,68.7,322.0
4.68,63.8,340.0
4.688,73.1,350.0
4.684,74.4,348.0
4.692,75.2,354.0
4.684,65.4,304.0
4.684,71.7,344.0
4.676,65.2,304.0
4.696,73.9,348.0
4.68,73.4,344.0
4.688,65.9,308.0
4.68,75.7,350.0
4.68,68.1,318.0
4.692,74.8,350.0
4.68,73.0,340.0
4.696,74.8,348.0
4.68,72.7,304.0
4.684,72.6,340.0
4.68,69.5,324.0
4.684,74.2,348.0
4.688,71.6,348.0
4.692,74.1,348.0
4.68,75.2,354.0
4.68,63.9,298.0
4.68,73.9,344.0
4.684,65.2,338.0
4.696,75.1,350.0
4.684,72.9,340.0
